round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8069987232049265,0.9139593614917932,"{'J': 0.6619269428781565, 'F': 0.3380730571218436}","{'J': 0.2845927379784102, 'F': 0.7154072620215898}",5.4,5.6,4.0,6.0,5.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
2,J,J,2.1470787317445925,1.654948413914759,"{'J': 0.7606701724348783, 'F': 0.2393298275651217}","{'J': 0.5388753056234719, 'F': 0.46112469437652814}",5.4,5.6,4.0,6.0,5.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
3,J,J,3.6319643542717257,2.3512913364554655,"{'J': 0.8244498777506113, 'F': 0.17555012224938876}","{'J': 0.5698214722426022, 'F': 0.4301785277573979}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
4,J,F,4.665253097981008,3.08587015410469,"{'J': 0.7606701724348783, 'F': 0.2393298275651217}","{'J': 0.3886847905951506, 'F': 0.6113152094048494}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
5,J,F,5.887981244666086,3.7659291666089905,"{'J': 0.8104735103389208, 'F': 0.18952648966107916}","{'J': 0.4608610567514677, 'F': 0.5391389432485323}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
6,J,F,7.00932347803812,4.448737219961358,"{'J': 0.8006851829193686, 'F': 0.19931481708063134}","{'J': 0.41858190709046456, 'F': 0.5814180929095355}",5.6,5.4,4.0,6.0,6.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
7,J,F,8.039309664755672,5.191705573892411,"{'J': 0.7548647656345613, 'F': 0.24513523436543874}","{'J': 0.3886441507586882, 'F': 0.6113558492413118}",5.6,5.4,4.0,6.0,6.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
8,J,F,8.968241855838787,5.928808103584645,"{'J': 0.7578277886497065, 'F': 0.24217221135029354}","{'J': 0.338087042045734, 'F': 0.6619129579542661}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
9,J,J,10.254050997845896,6.6519463800465735,"{'J': 0.777302189066895, 'F': 0.22269781093310506}","{'J': 0.5040332437056955, 'F': 0.4959667562943046}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
10,J,F,11.330779273631316,7.422930691171066,"{'J': 0.7341648324773783, 'F': 0.26583516752262165}","{'J': 0.4187071498530852, 'F': 0.5812928501469148}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
