round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.0863155375141162,0.7203189300921466,"{'J': 0.7718953445522663, 'F': 0.2281046554477337}","{'J': 0.41110295915871853, 'F': 0.5888970408412815}",6.4,4.8,6.0,7.0,6.0,8.0,5.0,5.0,6.0,5.0,8.0,0.0
2,J,J,2.444122696485061,1.4709411371282224,"{'J': 0.7492047956936628, 'F': 0.25079520430633717}","{'J': 0.5543876802737717, 'F': 0.4456123197262283}",6.4,4.8,6.0,7.0,6.0,8.0,5.0,5.0,6.0,5.0,8.0,0.0
3,J,J,3.797618578631303,2.138118957558037,"{'J': 0.8354554358472086, 'F': 0.16454456415279137}","{'J': 0.5077035950110051, 'F': 0.49229640498899485}",6.4,4.8,6.0,8.0,6.0,8.0,4.0,5.0,6.0,5.0,8.0,0.0
4,J,F,5.085802094446228,2.8307993574140853,"{'J': 0.8055793466291448, 'F': 0.19442065337085526}","{'J': 0.49217221135029354, 'F': 0.5078277886497065}",6.4,6.6,6.0,8.0,6.0,8.0,4.0,5.0,8.0,6.0,9.0,5.0
5,J,J,6.432439467945217,3.5469794548586924,"{'J': 0.7879603572739509, 'F': 0.2120396427260492}","{'J': 0.5272682807532404, 'F': 0.4727317192467596}",6.4,6.6,6.0,8.0,6.0,8.0,4.0,5.0,8.0,6.0,9.0,5.0
6,J,F,7.660467771619689,4.267141842707998,"{'J': 0.7772883015173764, 'F': 0.2227116984826236}","{'J': 0.47664465639520665, 'F': 0.5233553436047933}",6.2,4.8,6.0,7.0,6.0,8.0,4.0,5.0,6.0,5.0,8.0,0.0
7,J,J,8.99891926403658,4.98273707747347,"{'J': 0.7879677182685253, 'F': 0.21203228173147468}","{'J': 0.5234604105571847, 'F': 0.47653958944281527}",6.2,5.8,6.0,7.0,6.0,8.0,4.0,5.0,6.0,5.0,8.0,5.0
8,J,F,10.203813068057954,5.720928627447678,"{'J': 0.7606461086637298, 'F': 0.2393538913362702}","{'J': 0.4727050183598531, 'F': 0.5272949816401469}",6.2,6.4,6.0,7.0,6.0,8.0,4.0,6.0,8.0,6.0,8.0,4.0
9,J,J,11.498218434520526,6.4663934367720985,"{'J': 0.7549199364380883, 'F': 0.24508006356191175}","{'J': 0.5195503421309873, 'F': 0.4804496578690127}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,5.0,8.0,6.0,9.0,5.0
10,J,J,12.836564545851346,7.182075971150427,"{'J': 0.787871377919061, 'F': 0.212128622080939}","{'J': 0.5234604105571847, 'F': 0.47653958944281527}",6.2,6.6,6.0,7.0,6.0,8.0,4.0,5.0,8.0,6.0,9.0,5.0
