round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9468012989996305,0.8690923533959881,"{'J': 0.6723674566332764, 'F': 0.32763254336672365}","{'J': 0.36648701616854484, 'F': 0.6335129838314552}",6.0,5.6,4.0,6.0,8.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
2,J,F,2.004677010400974,1.6491196595042728,"{'J': 0.7278511992168379, 'F': 0.272148800783162}","{'J': 0.41107300342969133, 'F': 0.5889269965703087}",6.8,6.0,6.0,8.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
3,J,F,3.108797342966406,2.38149757905979,"{'J': 0.763448784082535, 'F': 0.236551215917465}","{'J': 0.42242242242242245, 'F': 0.5775775775775776}",6.0,6.0,4.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
4,J,F,4.307352682732846,3.05592978042991,"{'J': 0.8128153380423815, 'F': 0.18718466195761857}","{'J': 0.4492462311557789, 'F': 0.5507537688442211}",6.8,6.8,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
5,J,F,5.368563910243247,3.843799209943289,"{'J': 0.7217455258641824, 'F': 0.2782544741358176}","{'J': 0.41492537313432837, 'F': 0.5850746268656717}",6.8,5.8,6.0,8.0,8.0,8.0,4.0,3.0,6.0,8.0,8.0,4.0
6,J,F,6.491546893618764,4.598484904319214,"{'J': 0.7462466158011322, 'F': 0.25375338419886784}","{'J': 0.437902028698664, 'F': 0.562097971301336}",6.8,6.0,6.0,8.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
7,J,F,7.612195449281261,5.400946630063354,"{'J': 0.7057960381511372, 'F': 0.2942039618488628}","{'J': 0.45329737680804116, 'F': 0.5467026231919588}",6.8,6.0,6.0,8.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
8,J,F,8.763143970310818,6.15902616215811,"{'J': 0.7431935246504783, 'F': 0.2568064753495217}","{'J': 0.4532409698169223, 'F': 0.5467590301830777}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,4.0,6.0,8.0,8.0,4.0
9,J,F,10.019595715196823,6.865942910088981,"{'J': 0.7905282331511839, 'F': 0.20947176684881602}","{'J': 0.4842392653263837, 'F': 0.5157607346736163}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,4.0,6.0,8.0,8.0,4.0
10,J,F,11.234688530042773,7.619916384412697,"{'J': 0.7462613385633734, 'F': 0.2537386614366266}","{'J': 0.4842983316977429, 'F': 0.5157016683022572}",6.0,6.0,4.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
