round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.2994276130121972,0.45456104750259974,"{'J': 0.8577712609970675, 'F': 0.14222873900293256}","{'J': 0.06466202175773132, 'F': 0.9353379782422687}",6.4,6.8,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,5.0
2,J,F,0.7093697471186077,1.402663651276329,"{'J': 0.6790606653620352, 'F': 0.32093933463796476}","{'J': 0.05185909980430528, 'F': 0.9481409001956947}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,4.0
3,J,F,1.056550573074901,2.055467258567772,"{'J': 0.78531211750306, 'F': 0.21468788249694}","{'J': 0.061876491829365325, 'F': 0.9381235081706347}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,4.0
4,J,F,1.3757653458146588,2.6782658782890985,"{'J': 0.79559902200489, 'F': 0.20440097799511003}","{'J': 0.0526090545043255, 'F': 0.9473909454956745}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,8.0,7.0,8.0,4.0
5,J,F,1.6658478722975654,3.334950046187902,"{'J': 0.7825874296894106, 'F': 0.2174125703105894}","{'J': 0.03411174960264091, 'F': 0.965888250397359}",6.4,6.2,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,4.0
6,J,F,1.96232715767685,3.9699397877247016,"{'J': 0.7905099669805552, 'F': 0.20949003301944477}","{'J': 0.04023480494068729, 'F': 0.9597651950593127}",6.8,6.8,6.0,7.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,5.0
7,J,F,2.293506813299056,4.714049696173418,"{'J': 0.7520782396088019, 'F': 0.24792176039119804}","{'J': 0.04145663397794275, 'F': 0.9585433660220573}",6.8,6.8,6.0,7.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,5.0
8,J,F,2.596360844482643,5.467058411425417,"{'J': 0.7489611341970178, 'F': 0.2510388658029822}","{'J': 0.02596152376877588, 'F': 0.9740384762312241}",6.8,6.8,6.0,8.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,5.0
9,J,F,2.901232318085255,6.18634877106429,"{'J': 0.7606942067954046, 'F': 0.23930579320459544}","{'J': 0.03209635018646451, 'F': 0.9679036498135355}",6.2,6.6,6.0,7.0,6.0,8.0,4.0,6.0,8.0,7.0,8.0,4.0
10,J,F,3.202617978257539,6.858516434128034,"{'J': 0.777302189066895, 'F': 0.22269781093310506}","{'J': 0.03730680948737567, 'F': 0.9626931905126244}",6.2,6.6,6.0,7.0,6.0,8.0,4.0,6.0,8.0,7.0,8.0,4.0
