round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,F,0.7288361100477275,1.8167540391964188,"{'J': 0.3040078201368524, 'F': 0.6959921798631477}","{'J': 0.15203321528880206, 'F': 0.8479667847111979}",7.2,7.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0
2,J,J,2.9779252554725653,2.5980906358364697,"{'J': 0.9433605080760893, 'F': 0.05663949192391072}","{'J': 0.790515766316304, 'F': 0.20948423368369593}",8.4,7.4,8.0,9.0,8.0,9.0,8.0,6.0,8.0,8.0,8.0,7.0
3,J,F,3.9165071441387633,3.6290896755106754,"{'J': 0.5427454811919883, 'F': 0.4572545188080117}","{'J': 0.41104594330400784, 'F': 0.5889540566959922}",7.0,6.8,6.0,8.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,4.0
4,J,F,5.006278304877666,4.520640418674322,"{'J': 0.6187683284457478, 'F': 0.3812316715542522}","{'J': 0.48034188034188036, 'F': 0.5196581196581197}",7.0,6.6,6.0,8.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,4.0
5,J,F,6.005744288691435,5.4597955315091244,"{'J': 0.6039579770339604, 'F': 0.3960420229660396}","{'J': 0.426197458455523, 'F': 0.5738025415444771}",6.8,6.6,6.0,8.0,8.0,8.0,4.0,6.0,8.0,7.0,8.0,4.0
6,J,F,6.986611380533839,6.4106456081979815,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.41481300415546324, 'F': 0.5851869958445368}",6.6,6.8,6.0,7.0,8.0,8.0,4.0,6.0,8.0,8.0,8.0,4.0
7,J,F,7.967678794814762,7.361409992175874,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.4149560117302053, 'F': 0.5850439882697948}",6.6,7.0,6.0,8.0,7.0,8.0,4.0,6.0,8.0,8.0,9.0,4.0
8,J,F,8.93970056350664,8.303420241410478,"{'J': 0.6114369501466276, 'F': 0.3885630498533724}","{'J': 0.4035688095820093, 'F': 0.5964311904179908}",6.6,6.6,6.0,7.0,8.0,8.0,4.0,6.0,7.0,8.0,8.0,4.0
9,J,F,9.94131024020899,9.201764437372782,"{'J': 0.6405867970660146, 'F': 0.3594132029339853}","{'J': 0.41104594330400784, 'F': 0.5889540566959922}",6.6,6.6,6.0,7.0,8.0,8.0,4.0,6.0,7.0,8.0,8.0,4.0
10,J,F,10.907546220077734,10.123693485512923,"{'J': 0.6298288508557457, 'F': 0.37017114914425425}","{'J': 0.39232461500855537, 'F': 0.6076753849914447}",7.0,6.6,6.0,8.0,8.0,9.0,4.0,6.0,7.0,8.0,8.0,4.0
