round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9422085091210145,0.674694024888201,"{'J': 0.795701550860911, 'F': 0.204298449139089}","{'J': 0.33805569125549584, 'F': 0.6619443087445042}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
2,J,F,2.1446999600247763,1.4722025739844393,"{'J': 0.7024914509037616, 'F': 0.2975085490962384}","{'J': 0.5, 'F': 0.5}",6.2,5.4,6.0,7.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,3.0
3,J,J,3.5805863060344665,2.1513910140250236,"{'J': 0.8354708684499816, 'F': 0.16452913155001833}","{'J': 0.5428780845345712, 'F': 0.4571219154654288}",5.6,5.4,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,3.0
4,F,F,4.450884303103348,3.2810930169561425,"{'J': 0.5, 'F': 0.5}","{'J': 0.3702979970688813, 'F': 0.6297020029311187}",5.6,5.4,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,3.0
5,J,F,5.507262578335091,4.199641380164424,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.4687194525904203, 'F': 0.5312805474095796}",5.6,6.2,4.0,6.0,7.0,8.0,3.0,6.0,7.0,6.0,8.0,4.0
6,J,F,6.467431629568574,5.205731291192729,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",6.2,5.6,6.0,7.0,6.0,8.0,4.0,4.0,6.0,7.0,8.0,3.0
7,J,F,7.437552038754894,6.1990317285558065,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",6.2,5.4,6.0,7.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,3.0
8,J,F,8.352896333373915,7.211454391564729,"{'J': 0.5738025415444771, 'F': 0.426197458455523}","{'J': 0.37765827426057197, 'F': 0.622341725739428}",5.4,5.4,4.0,6.0,6.0,8.0,3.0,4.0,6.0,6.0,8.0,3.0
9,J,F,9.320844126026328,8.171978357009307,"{'J': 0.5964311904179908, 'F': 0.4035688095820093}","{'J': 0.4072807231859272, 'F': 0.5927192768140728}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,2.0
10,J,F,10.230800921879112,9.148127324956718,"{'J': 0.6039119804400978, 'F': 0.3960880195599022}","{'J': 0.3629919335125886, 'F': 0.6370080664874114}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,2.0
