round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9226509707350137,1.0131031069625476,"{'J': 0.56981039152918, 'F': 0.43018960847082}","{'J': 0.38496354035705305, 'F': 0.615036459642947}",5.8,2.6,4.0,6.0,8.0,8.0,3.0,2.0,3.0,2.0,4.0,2.0
2,J,J,2.359125299148115,1.781252917989934,"{'J': 0.7154348919054802, 'F': 0.28456510809451985}","{'J': 0.6187273667873772, 'F': 0.3812726332126229}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
3,J,J,3.8814787447988035,2.5245905985364776,"{'J': 0.7634395064836963, 'F': 0.23656049351630368}","{'J': 0.6260683760683761, 'F': 0.37393162393162394}",6.0,4.4,4.0,6.0,8.0,8.0,4.0,3.0,4.0,4.0,8.0,3.0
4,J,F,5.066580505572858,3.327057127352152,"{'J': 0.6991217063989963, 'F': 0.30087829360100377}","{'J': 0.49219590958019377, 'F': 0.5078040904198062}",5.8,5.2,4.0,6.0,8.0,8.0,3.0,4.0,5.0,5.0,8.0,4.0
5,J,J,6.435748484947757,4.059257938666662,"{'J': 0.7718777076370837, 'F': 0.2281222923629162}","{'J': 0.5466058763931104, 'F': 0.4533941236068896}",5.6,4.0,4.0,6.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
6,J,J,7.721252938934745,4.790745990681748,"{'J': 0.7691154422788605, 'F': 0.23088455772113944}","{'J': 0.5078927587070909, 'F': 0.49210724129290906}",5.6,3.4,4.0,6.0,6.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
7,J,J,9.030926414584616,5.554218663559459,"{'J': 0.7340319361277445, 'F': 0.26596806387225547}","{'J': 0.5390684652583354, 'F': 0.46093153474166454}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
8,J,J,10.289982133478143,6.340703954929533,"{'J': 0.7090549233052944, 'F': 0.2909450766947056}","{'J': 0.5272302904564315, 'F': 0.47276970954356845}",3.8,3.4,2.0,4.0,3.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
9,J,J,11.54375090250383,7.094535046787749,"{'J': 0.7461088282903748, 'F': 0.2538911717096252}","{'J': 0.5038600102933608, 'F': 0.4961399897066392}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
10,J,J,12.87228271469758,7.854884928041201,"{'J': 0.7372647427854454, 'F': 0.2627352572145546}","{'J': 0.5468262226847035, 'F': 0.45317377731529657}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
