round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9979156437981626,0.8418804180523215,"{'J': 0.6857983811626196, 'F': 0.3142016188373804}","{'J': 0.39221923171030093, 'F': 0.6077807682896991}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
2,J,J,2.6898937054318393,1.576048758276348,"{'J': 0.8032424465733236, 'F': 0.1967575534266765}","{'J': 0.6756624141315015, 'F': 0.32433758586849853}",6.4,6.8,6.0,7.0,6.0,8.0,5.0,6.0,8.0,6.0,8.0,6.0
3,J,J,4.377791465811976,2.2740236079620573,"{'J': 0.8615536618500679, 'F': 0.13844633814993207}","{'J': 0.6334077934971457, 'F': 0.3665922065028543}",6.4,6.4,6.0,8.0,6.0,8.0,4.0,5.0,8.0,6.0,8.0,5.0
4,J,J,5.7381789123930815,2.993683413215884,"{'J': 0.7852912142152023, 'F': 0.21470878578479763}","{'J': 0.5350726064484371, 'F': 0.4649273935515629}",6.6,6.4,6.0,7.0,6.0,8.0,6.0,5.0,8.0,6.0,8.0,5.0
5,J,F,6.876312919059914,3.748254512127361,"{'J': 0.7462466158011322, 'F': 0.25375338419886784}","{'J': 0.44553483807654565, 'F': 0.5544651619234544}",6.4,6.4,6.0,8.0,6.0,8.0,4.0,5.0,8.0,6.0,8.0,5.0
6,J,J,8.17488093757226,4.482937663411278,"{'J': 0.7663366336633664, 'F': 0.23366336633663368}","{'J': 0.5156057999508479, 'F': 0.4843942000491521}",6.4,6.4,6.0,8.0,6.0,8.0,4.0,5.0,8.0,6.0,8.0,5.0
7,J,J,9.569501979312601,5.220661619150592,"{'J': 0.7663344407530454, 'F': 0.2336655592469546}","{'J': 0.5621141022474685, 'F': 0.4378858977525315}",6.8,6.8,6.0,8.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0
8,J,J,10.885098232252673,5.974040194999233,"{'J': 0.7460707269155207, 'F': 0.2539292730844794}","{'J': 0.5350381116301942, 'F': 0.46496188836980573}",6.8,6.4,6.0,8.0,6.0,8.0,6.0,5.0,8.0,6.0,8.0,5.0
9,J,J,12.268465631629951,6.683402194966678,"{'J': 0.7981220657276995, 'F': 0.20187793427230047}","{'J': 0.5388806339772164, 'F': 0.4611193660227836}",6.8,6.4,6.0,8.0,6.0,8.0,6.0,5.0,8.0,6.0,8.0,5.0
10,J,J,13.668348942027013,7.401034374480224,"{'J': 0.7905720599067027, 'F': 0.20942794009329732}","{'J': 0.5505535055350553, 'F': 0.44944649446494467}",6.4,6.8,6.0,8.0,6.0,8.0,4.0,6.0,8.0,6.0,8.0,6.0
