round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1161744817789785,0.7844953969337585,"{'J': 0.9615349362989215, 'F': 0.03846506370107849}","{'J': 0.37014414854629857, 'F': 0.6298558514537015}",4.8,5.2,4.0,5.0,4.0,8.0,3.0,4.0,6.0,4.0,8.0,4.0
2,J,F,2.3909418336090837,1.8257761820459253,"{'J': 0.7956962953906346, 'F': 0.20430370460936545}","{'J': 0.43779027132730386, 'F': 0.5622097286726961}",5.6,6.0,6.0,4.0,6.0,8.0,4.0,6.0,6.0,6.0,8.0,4.0
3,J,F,3.6095837658933503,2.8932439460327357,"{'J': 0.7402152641878669, 'F': 0.25978473581213307}","{'J': 0.410958904109589, 'F': 0.589041095890411}",4.8,5.6,4.0,6.0,4.0,8.0,2.0,5.0,6.0,5.0,8.0,4.0
4,J,F,4.81445224056149,4.025541738134752,"{'J': 0.6689503303156349, 'F': 0.33104966968436506}","{'J': 0.40362035225048926, 'F': 0.5963796477495108}",4.4,4.0,4.0,4.0,4.0,8.0,2.0,3.0,3.0,3.0,8.0,3.0
5,J,F,5.980858946565013,5.115290533537291,"{'J': 0.699119373776908, 'F': 0.300880626223092}","{'J': 0.37753853682407634, 'F': 0.6224614631759237}",5.6,4.8,5.0,6.0,5.0,8.0,4.0,4.0,4.0,4.0,8.0,4.0
6,J,F,7.134288486544425,6.222860294733305,"{'J': 0.6792176039119805, 'F': 0.32078239608801956}","{'J': 0.3666421748714181, 'F': 0.633357825128582}",5.6,5.2,5.0,6.0,5.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
7,J,F,8.312725159736642,7.330456107032429,"{'J': 0.6859241126070992, 'F': 0.3140758873929009}","{'J': 0.38491674828599415, 'F': 0.6150832517140059}",5.6,4.8,5.0,5.0,5.0,8.0,5.0,4.0,4.0,4.0,8.0,4.0
8,J,F,9.52187861609222,8.484470769532063,"{'J': 0.6477495107632094, 'F': 0.3522504892367906}","{'J': 0.40738928309273303, 'F': 0.592610716907267}",5.6,4.4,5.0,6.0,5.0,8.0,4.0,4.0,4.0,4.0,8.0,2.0
9,J,F,10.716407038688672,9.607158831616964,"{'J': 0.6758080313418218, 'F': 0.32419196865817823}","{'J': 0.39603232916972814, 'F': 0.6039676708302718}",4.4,4.8,4.0,4.0,4.0,8.0,2.0,4.0,4.0,4.0,8.0,4.0
10,J,F,11.863341474250293,10.705303756875383,"{'J': 0.6859099804305284, 'F': 0.31409001956947163}","{'J': 0.36287952987267386, 'F': 0.6371204701273262}",5.6,4.8,5.0,6.0,5.0,8.0,4.0,4.0,6.0,4.0,8.0,2.0
