round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1727327233752727,1.2935245095863874,"{'J': 0.5234011271747121, 'F': 0.4765988728252879}","{'J': 0.3558070866141732, 'F': 0.6441929133858267}",3.8,2.6,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0
2,J,F,2.3291246947851514,2.475516982421822,"{'J': 0.6149706457925636, 'F': 0.3850293542074364}","{'J': 0.35942885278188086, 'F': 0.6405711472181191}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
3,J,F,3.548621937312764,3.6182129295261864,"{'J': 0.6619129579542661, 'F': 0.338087042045734}","{'J': 0.4148883374689826, 'F': 0.5851116625310173}",6.0,3.6,4.0,6.0,8.0,8.0,4.0,2.0,3.0,3.0,8.0,2.0
4,J,F,4.752824071766397,4.778218183187897,"{'J': 0.6407053637031594, 'F': 0.35929463629684055}","{'J': 0.40349151708876324, 'F': 0.5965084829112368}",5.2,3.4,4.0,5.0,6.0,8.0,3.0,2.0,3.0,2.0,8.0,2.0
5,J,F,5.9424379576136594,5.903073925741891,"{'J': 0.6723842195540308, 'F': 0.3276157804459691}","{'J': 0.3923739237392374, 'F': 0.6076260762607626}",3.8,2.0,2.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0
6,J,F,7.098742248662045,7.030827896606098,"{'J': 0.6619164619164619, 'F': 0.3380835380835381}","{'J': 0.36663385826771655, 'F': 0.6333661417322834}",6.0,3.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
7,J,F,8.269266991669745,8.161935956977873,"{'J': 0.6619234543670265, 'F': 0.3380765456329735}","{'J': 0.3774932282688993, 'F': 0.6225067717311007}",6.0,3.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
8,J,F,9.443811571799596,9.332893069846612,"{'J': 0.6261040235525025, 'F': 0.37389597644749756}","{'J': 0.37748344370860926, 'F': 0.6225165562913907}",4.8,3.4,4.0,4.0,4.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
9,J,F,10.605462153788743,10.498105749998459,"{'J': 0.629812438302073, 'F': 0.37018756169792694}","{'J': 0.3666254635352287, 'F': 0.6333745364647714}",4.8,1.8,4.0,4.0,4.0,8.0,4.0,2.0,2.0,2.0,2.0,1.0
10,J,F,11.769418557248413,11.680539933728603,"{'J': 0.6150442477876106, 'F': 0.38495575221238937}","{'J': 0.36647797194191484, 'F': 0.6335220280580851}",3.8,2.8,2.0,3.0,4.0,8.0,2.0,2.0,3.0,3.0,4.0,2.0
