round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8613580816115143,1.052984384924725,"{'J': 0.5661207528721584, 'F': 0.4338792471278416}","{'J': 0.3380660954712362, 'F': 0.6619339045287638}",7.6,7.8,7.0,8.0,8.0,9.0,6.0,8.0,8.0,8.0,9.0,6.0
2,J,F,1.853531967610969,2.0299347531083045,"{'J': 0.5660469667318982, 'F': 0.43395303326810175}","{'J': 0.4415647921760391, 'F': 0.5584352078239608}",7.4,7.8,6.0,8.0,8.0,9.0,6.0,8.0,8.0,8.0,9.0,6.0
3,J,F,2.8805234976046235,2.943856840085764,"{'J': 0.6187374749498998, 'F': 0.3812625250501002}","{'J': 0.43779724655819774, 'F': 0.5622027534418023}",8.0,7.4,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,8.0,6.0
4,J,F,3.891111676060782,3.8785113240694087,"{'J': 0.6038659163200392, 'F': 0.39613408367996084}","{'J': 0.43410093091621754, 'F': 0.5658990690837825}",7.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,9.0,8.0,9.0,6.0
5,J,F,4.852214780053557,4.854400357368125,"{'J': 0.5851272015655578, 'F': 0.41487279843444225}","{'J': 0.4074798337814715, 'F': 0.5925201662185284}",8.6,7.6,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,6.0
6,J,F,5.780784470393672,5.827559191782489,"{'J': 0.6002447980416157, 'F': 0.3997552019583843}","{'J': 0.37746062992125984, 'F': 0.6225393700787402}",7.6,7.6,7.0,8.0,8.0,9.0,6.0,7.0,8.0,8.0,9.0,6.0
7,J,F,6.756444783664865,6.780582700648287,"{'J': 0.6002453987730061, 'F': 0.39975460122699386}","{'J': 0.41107300342969133, 'F': 0.5889269965703087}",8.0,8.0,8.0,9.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,6.0
8,J,F,7.697773874000577,7.774933334071768,"{'J': 0.5773853323522198, 'F': 0.4226146676477802}","{'J': 0.3961038961038961, 'F': 0.6038961038961039}",8.0,8.0,8.0,9.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,6.0
9,J,F,8.634775034944932,8.78806794687566,"{'J': 0.5621780721118469, 'F': 0.43782192788815305}","{'J': 0.3997552019583843, 'F': 0.6002447980416157}",7.6,7.6,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,9.0,6.0
10,J,F,9.588302022209268,9.771820251882495,"{'J': 0.5813097866077999, 'F': 0.41869021339220014}","{'J': 0.40357755452095073, 'F': 0.5964224454790492}",8.0,6.8,8.0,9.0,8.0,9.0,6.0,6.0,8.0,8.0,8.0,4.0
