round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.84935750168657,1.0541706928396197,"{'J': 0.5699608610567515, 'F': 0.4300391389432485}","{'J': 0.32763254336672365, 'F': 0.6723674566332764}",4.2,2.6,4.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
2,J,F,1.8444966760630441,2.0264231513581494,"{'J': 0.5698214722426022, 'F': 0.4301785277573979}","{'J': 0.4416218856863703, 'F': 0.5583781143136297}",4.2,6.0,3.0,4.0,4.0,8.0,2.0,4.0,6.0,8.0,8.0,4.0
3,J,F,2.8577071557164504,2.9564209618155486,"{'J': 0.6075887392900857, 'F': 0.39241126070991433}","{'J': 0.4340175953079179, 'F': 0.5659824046920822}",3.4,4.0,2.0,3.0,2.0,8.0,2.0,2.0,4.0,4.0,8.0,2.0
4,J,F,3.8902666477527807,3.8610726206534203,"{'J': 0.6261636452719255, 'F': 0.37383635472807447}","{'J': 0.43779027132730386, 'F': 0.5622097286726961}",3.4,5.6,2.0,3.0,2.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
5,J,F,4.850779659565298,4.829045123270079,"{'J': 0.5927014450159197, 'F': 0.40729855498408035}","{'J': 0.4035688095820093, 'F': 0.5964311904179908}",4.8,3.6,4.0,5.0,5.0,8.0,2.0,4.0,4.0,4.0,4.0,2.0
6,J,F,5.7893484400973385,5.820504492456903,"{'J': 0.581230090664053, 'F': 0.4187699093359471}","{'J': 0.39232461500855537, 'F': 0.6076753849914447}",5.2,3.4,4.0,6.0,6.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
7,J,F,6.742854841396009,6.804402220696502,"{'J': 0.5811839842790469, 'F': 0.41881601572095306}","{'J': 0.40362035225048926, 'F': 0.5963796477495108}",6.0,4.0,4.0,6.0,8.0,8.0,4.0,2.0,4.0,4.0,8.0,2.0
8,J,F,7.721578125681463,7.760059618671278,"{'J': 0.5965170468481726, 'F': 0.4034829531518273}","{'J': 0.41501589630716557, 'F': 0.5849841036928344}",3.4,4.0,2.0,3.0,2.0,8.0,2.0,2.0,4.0,4.0,8.0,2.0
9,J,F,8.624425195054577,8.798379908880783,"{'J': 0.5583333333333333, 'F': 0.44166666666666665}","{'J': 0.37393005624847153, 'F': 0.6260699437515285}",3.6,4.4,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,8.0,0.0
10,J,F,9.516381043375905,9.848384120956357,"{'J': 0.5543825190277437, 'F': 0.44561748097225634}","{'J': 0.3665932990951333, 'F': 0.6334067009048667}",5.6,4.0,4.0,6.0,6.0,8.0,4.0,2.0,4.0,4.0,8.0,2.0
