round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9171042597989947,0.8482561937641301,"{'J': 0.6893346379647749, 'F': 0.31066536203522505}","{'J': 0.34508939505265734, 'F': 0.6549106049473427}",5.6,6.0,4.0,6.0,7.0,8.0,3.0,4.0,6.0,8.0,8.0,4.0
2,J,F,2.048328990495876,1.624780948136539,"{'J': 0.7279393791249084, 'F': 0.27206062087509164}","{'J': 0.4494106090373281, 'F': 0.5505893909626719}",6.0,4.4,4.0,6.0,8.0,8.0,4.0,3.0,4.0,5.0,8.0,2.0
3,J,F,3.234407607974397,2.3559101457496454,"{'J': 0.7663322730609249, 'F': 0.23366772693907512}","{'J': 0.4611424368717823, 'F': 0.5388575631282178}",6.0,4.4,4.0,6.0,8.0,8.0,4.0,3.0,4.0,5.0,8.0,2.0
4,J,F,4.4056711984649555,3.1068994120799096,"{'J': 0.7491442542787287, 'F': 0.2508557457212714}","{'J': 0.46099290780141844, 'F': 0.5390070921985816}",6.0,3.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
5,J,F,5.561664886581621,3.878804595107186,"{'J': 0.7310513447432763, 'F': 0.26894865525672373}","{'J': 0.46099290780141844, 'F': 0.5390070921985816}",6.0,6.0,4.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
6,J,F,6.733242726270108,4.629723454655291,"{'J': 0.7492047956936628, 'F': 0.25079520430633717}","{'J': 0.46112469437652814, 'F': 0.5388753056234719}",6.0,1.0,4.0,6.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0
7,J,F,8.021106685164161,5.341859495761236,"{'J': 0.7878639588940544, 'F': 0.2121360411059457}","{'J': 0.5, 'F': 0.5}",6.0,6.8,4.0,6.0,8.0,8.0,4.0,5.0,8.0,8.0,8.0,5.0
8,J,J,9.396159332320076,6.043132793063844,"{'J': 0.8056779246206559, 'F': 0.1943220753793441}","{'J': 0.5312117503059975, 'F': 0.46878824969400246}",6.2,7.0,4.0,6.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,6.0
9,J,F,10.604248555056651,6.828306750747121,"{'J': 0.7153677009528463, 'F': 0.2846322990471537}","{'J': 0.49608993157380255, 'F': 0.5039100684261975}",6.0,7.0,4.0,6.0,7.0,8.0,5.0,5.0,8.0,8.0,9.0,5.0
10,J,J,11.900565193707575,7.54929317492572,"{'J': 0.7799388379204893, 'F': 0.2200611620795107}","{'J': 0.5077262693156733, 'F': 0.4922737306843267}",6.8,6.8,6.0,7.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,5.0
