round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.7910278809892592,1.0732415972443732,"{'J': 0.5775819872736172, 'F': 0.4224180127263828}","{'J': 0.28131115459882583, 'F': 0.7186888454011742}",6.4,7.2,6.0,8.0,6.0,8.0,4.0,6.0,8.0,8.0,8.0,6.0
2,J,F,1.6866764732653967,1.9082611978564583,"{'J': 0.6992665036674817, 'F': 0.30073349633251834}","{'J': 0.33104799216454456, 'F': 0.6689520078354554}",7.2,7.2,5.0,8.0,9.0,9.0,5.0,5.0,8.0,9.0,9.0,5.0
3,J,F,2.6230828640465114,2.6741099830379875,"{'J': 0.7402152641878669, 'F': 0.25978473581213307}","{'J': 0.34506353861192574, 'F': 0.6549364613880743}",6.4,7.2,6.0,8.0,6.0,8.0,4.0,5.0,8.0,9.0,9.0,5.0
4,J,F,3.5724078105545494,3.4688688709792035,"{'J': 0.7216242661448141, 'F': 0.27837573385518594}","{'J': 0.3556587631385969, 'F': 0.6443412368614031}",7.2,6.8,5.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,5.0
5,J,F,4.603229239190012,4.228488502360392,"{'J': 0.7432762836185819, 'F': 0.2567237163814181}","{'J': 0.39232461500855537, 'F': 0.6076753849914447}",7.2,7.2,5.0,8.0,9.0,9.0,5.0,5.0,8.0,9.0,9.0,5.0
6,J,F,5.582988950958967,5.011937226995438,"{'J': 0.7279843444227005, 'F': 0.2720156555772994}","{'J': 0.37017114914425425, 'F': 0.6298288508557457}",7.2,7.2,5.0,8.0,9.0,9.0,5.0,5.0,8.0,9.0,9.0,5.0
7,J,F,6.641127186300546,5.723267303930974,"{'J': 0.777316059643119, 'F': 0.22268394035688097}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",7.2,7.2,5.0,8.0,9.0,9.0,5.0,5.0,8.0,9.0,9.0,5.0
8,J,F,7.629542643633852,6.431007391698421,"{'J': 0.777302189066895, 'F': 0.22269781093310506}","{'J': 0.3630354957160343, 'F': 0.6369645042839658}",7.2,7.0,5.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,9.0,5.0
9,J,F,8.759481339195418,7.160334310979316,"{'J': 0.7663528548722338, 'F': 0.23364714512776624}","{'J': 0.43395303326810175, 'F': 0.5660469667318982}",6.6,6.8,5.0,8.0,6.0,9.0,5.0,5.0,8.0,8.0,8.0,5.0
10,J,F,9.83181160245568,7.876310719891505,"{'J': 0.7745565749235473, 'F': 0.2254434250764526}","{'J': 0.40362035225048926, 'F': 0.5963796477495108}",7.0,7.0,6.0,8.0,8.0,9.0,4.0,5.0,8.0,8.0,9.0,5.0
