round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9227291020643225,0.8735042165580128,"{'J': 0.6723758257890874, 'F': 0.32762417421091267}","{'J': 0.35223661696406744, 'F': 0.6477633830359325}",4.2,4.0,4.0,3.0,4.0,8.0,2.0,4.0,4.0,4.0,4.0,4.0
2,J,F,2.1282629777933164,1.646508752521725,"{'J': 0.7280293757649938, 'F': 0.2719706242350061}","{'J': 0.48823529411764705, 'F': 0.5117647058823529}",4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
3,J,F,3.2885244994666643,2.3528586269108294,"{'J': 0.7853814078979642, 'F': 0.21461859210203582}","{'J': 0.44157441574415746, 'F': 0.5584255842558425}",5.2,3.0,4.0,5.0,6.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0
4,J,F,4.327461445885445,3.0916939531866525,"{'J': 0.7578019826214661, 'F': 0.24219801737853383}","{'J': 0.3922488274500123, 'F': 0.6077511725499877}",4.2,2.6,4.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
5,J,F,5.352943651807748,3.8816827873834505,"{'J': 0.721760391198044, 'F': 0.278239608801956}","{'J': 0.39598629466470875, 'F': 0.6040137053352912}",4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
6,J,F,6.429496190410474,4.652777898683296,"{'J': 0.7340842311459354, 'F': 0.26591576885406465}","{'J': 0.41864448250550523, 'F': 0.5813555174944948}",4.2,2.0,4.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0
7,J,F,7.509324771928521,5.431559953610231,"{'J': 0.7280293757649938, 'F': 0.2719706242350061}","{'J': 0.42249388753056233, 'F': 0.5775061124694376}",4.2,2.0,4.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0
8,J,F,8.575639867701199,6.223275496097138,"{'J': 0.7185130838835901, 'F': 0.28148691611640986}","{'J': 0.4187866927592955, 'F': 0.5812133072407045}",3.8,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
9,J,F,9.593507130633936,7.062053829314699,"{'J': 0.6859241126070992, 'F': 0.3140758873929009}","{'J': 0.40362035225048926, 'F': 0.5963796477495108}",3.8,1.8,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0
10,J,F,10.655288927219004,7.862170743120768,"{'J': 0.7121879588839941, 'F': 0.2878120411160059}","{'J': 0.41864448250550523, 'F': 0.5813555174944948}",3.6,1.8,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0
