round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8326849760040229,0.6607950322871285,"{'J': 0.7982402541855066, 'F': 0.20175974581449346}","{'J': 0.2877047176729406, 'F': 0.7122952823270594}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0
2,J,F,2.213927241606532,1.179527675455048,"{'J': 0.9585230919705352, 'F': 0.041476908029464805}","{'J': 0.4727317192467596, 'F': 0.5272682807532404}",7.4,6.4,6.0,8.0,8.0,9.0,6.0,6.0,8.0,6.0,8.0,4.0
3,J,F,3.526456806039822,1.6623935448541096,"{'J': 0.9693260919452307, 'F': 0.030673908054769373}","{'J': 0.44550575557188343, 'F': 0.5544942444281166}",7.2,7.2,6.0,8.0,7.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0
4,J,F,4.946542328422936,2.184087917294207,"{'J': 0.9648511522709212, 'F': 0.035148847729078794}","{'J': 0.4843444227005871, 'F': 0.5156555772994129}",7.4,7.4,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,6.0
5,J,F,6.187279197866125,2.6577695099073697,"{'J': 0.9609683039398478, 'F': 0.039031696060152214}","{'J': 0.42255933447516514, 'F': 0.5774406655248349}",7.4,7.4,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,6.0
6,J,F,7.593252047643407,3.16321329206576,"{'J': 0.9736427467837421, 'F': 0.026357253216257974}","{'J': 0.4766217870257038, 'F': 0.5233782129742962}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
7,J,J,9.079071177209773,3.691807249123518,"{'J': 0.9748182166092614, 'F': 0.025181783390738614}","{'J': 0.5037943696450429, 'F': 0.4962056303549572}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0
8,J,F,10.145014139067275,4.202853778412568,"{'J': 0.9072770671399718, 'F': 0.09272293286002815}","{'J': 0.37017114914425425, 'F': 0.6298288508557457}",7.4,7.4,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,6.0
9,J,F,11.066244381450682,4.720958233865049,"{'J': 0.8840482163617451, 'F': 0.11595178363825491}","{'J': 0.3175146771037182, 'F': 0.6824853228962818}",7.4,7.4,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,6.0
10,J,F,11.965974657876949,5.265290507933404,"{'J': 0.8670336391437309, 'F': 0.13296636085626912}","{'J': 0.31066536203522505, 'F': 0.6893346379647749}",7.4,7.2,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0
