round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.9084501081000698,1.0210068749356547,"{'J': 0.5698898408812729, 'F': 0.4301101591187271}","{'J': 0.37383177570093457, 'F': 0.6261682242990654}",5.2,2.0,4.0,5.0,5.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0
2,J,J,2.1394963067222927,1.815442679648576,"{'J': 0.7025819265143992, 'F': 0.2974180734856008}","{'J': 0.5157232704402516, 'F': 0.48427672955974843}",3.4,5.6,2.0,3.0,2.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
3,J,F,3.3434932987440495,2.5977769346455477,"{'J': 0.7186458066170813, 'F': 0.28135419338291867}","{'J': 0.4921855618953113, 'F': 0.5078144381046886}",6.0,2.2,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,3.0,1.0
4,J,F,4.536970833983962,3.3682088119395788,"{'J': 0.731048286214661, 'F': 0.268951713785339}","{'J': 0.4804745427582798, 'F': 0.5195254572417202}",5.6,4.4,4.0,6.0,6.0,8.0,4.0,3.0,4.0,4.0,8.0,3.0
5,J,F,5.6546874984041855,4.192317844711907,"{'J': 0.6859169199594731, 'F': 0.3140830800405269}","{'J': 0.46088689586447434, 'F': 0.5391131041355257}",5.2,3.6,4.0,5.0,5.0,8.0,4.0,2.0,4.0,2.0,8.0,2.0
6,J,F,6.7619281853949,5.014233078922201,"{'J': 0.689414694894147, 'F': 0.310585305105853}","{'J': 0.453248031496063, 'F': 0.546751968503937}",4.0,3.6,2.0,4.0,4.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
7,J,F,7.806039415806496,5.922037961571724,"{'J': 0.6187624750499002, 'F': 0.3812375249500998}","{'J': 0.4493906988311365, 'F': 0.5506093011688634}",6.0,4.4,4.0,6.0,8.0,8.0,4.0,3.0,4.0,4.0,8.0,3.0
8,J,F,8.882626767637676,6.796077582332264,"{'J': 0.6441020459712048, 'F': 0.35589795402879515}","{'J': 0.45717181956411557, 'F': 0.5428281804358844}",6.0,4.4,4.0,6.0,8.0,8.0,4.0,3.0,4.0,4.0,8.0,3.0
9,J,F,10.009066774235357,7.638673350398653,"{'J': 0.6653326663331666, 'F': 0.33466733366683343}","{'J': 0.47658945293247906, 'F': 0.523410547067521}",6.0,2.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,3.0,2.0
10,J,F,11.094493490776879,8.519863713509054,"{'J': 0.633399209486166, 'F': 0.366600790513834}","{'J': 0.46871896722939427, 'F': 0.5312810327706058}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
