round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.6839984635423366,0.6425539540151624,"{'J': 0.8006856023506367, 'F': 0.19931439764936337}","{'J': 0.2200366524129505, 'F': 0.7799633475870494}",7.0,6.8,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,5.0
2,J,F,1.7614647237881278,1.3821078245277483,"{'J': 0.7577092511013216, 'F': 0.2422907488986784}","{'J': 0.41124694376528115, 'F': 0.5887530562347189}",7.0,6.8,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,5.0
3,J,F,2.8428708495189547,2.0575106786585797,"{'J': 0.8032464338416134, 'F': 0.19675356615838663}","{'J': 0.3997552019583843, 'F': 0.6002447980416157}",6.8,7.0,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
4,J,F,3.7994145819753276,2.7995644634049452,"{'J': 0.7549944846182131, 'F': 0.24500551538178697}","{'J': 0.3522504892367906, 'F': 0.6477495107632094}",7.0,6.8,6.0,7.0,8.0,9.0,5.0,6.0,7.0,8.0,8.0,5.0
5,J,F,4.862220074438985,3.499587670576111,"{'J': 0.7853031230863442, 'F': 0.21469687691365585}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",7.0,6.8,6.0,7.0,8.0,9.0,5.0,6.0,7.0,8.0,8.0,5.0
6,J,F,5.998767411491571,4.170339138885041,"{'J': 0.8104799216454457, 'F': 0.18952007835455437}","{'J': 0.4224180127263828, 'F': 0.5775819872736172}",6.4,6.8,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
7,J,F,7.162805070232997,4.840777118983165,"{'J': 0.8129205921938089, 'F': 0.18707940780619112}","{'J': 0.4338792471278416, 'F': 0.5661207528721584}",6.4,6.8,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
8,J,F,8.345990261961662,5.5389018897187725,"{'J': 0.793141457440294, 'F': 0.20685854255970607}","{'J': 0.4493887530562347, 'F': 0.5506112469437653}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,7.0,7.0,8.0,5.0
9,J,F,9.555506016378946,6.211515453009973,"{'J': 0.8151960784313725, 'F': 0.18480392156862746}","{'J': 0.4532550171316691, 'F': 0.5467449828683308}",6.8,6.4,6.0,7.0,8.0,9.0,4.0,6.0,7.0,6.0,8.0,5.0
10,J,F,10.833432353986854,6.894674138964775,"{'J': 0.8129285014691479, 'F': 0.18707149853085211}","{'J': 0.4844553243574051, 'F': 0.5155446756425949}",7.0,6.8,6.0,7.0,8.0,9.0,5.0,6.0,7.0,8.0,8.0,5.0
