round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8239911338017598,0.7681921675148794,"{'J': 0.7401613297482278, 'F': 0.2598386702517722}","{'J': 0.2877381533952125, 'F': 0.7122618466047875}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
2,J,F,2.0600191184326326,1.488799885660361,"{'J': 0.7772604753736829, 'F': 0.22273952462631708}","{'J': 0.4804496578690127, 'F': 0.5195503421309873}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
3,J,F,3.168086219561079,2.1809580635972927,"{'J': 0.793141457440294, 'F': 0.20685854255970607}","{'J': 0.41481300415546324, 'F': 0.5851869958445368}",4.2,4.4,4.0,3.0,4.0,8.0,2.0,4.0,4.0,4.0,8.0,2.0
4,J,F,4.390961316032879,2.8853859337918246,"{'J': 0.7905041605482134, 'F': 0.2094958394517866}","{'J': 0.4687194525904203, 'F': 0.5312805474095796}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
5,J,F,5.690626290346141,3.5550605110264417,"{'J': 0.8267254038179148, 'F': 0.17327459618208516}","{'J': 0.48826979472140764, 'F': 0.5117302052785924}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,6.963891490581625,4.207873914363925,"{'J': 0.8375963774323828, 'F': 0.16240362256761717}","{'J': 0.4726295210166178, 'F': 0.5273704789833822}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
7,J,F,8.298890074887836,4.850735675008117,"{'J': 0.8538885486834048, 'F': 0.14611145131659523}","{'J': 0.4921798631476051, 'F': 0.5078201368523949}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,4.0,4.0,8.0,2.0
8,J,F,9.573763219011187,5.488292312971436,"{'J': 0.8499388004895961, 'F': 0.15006119951040392}","{'J': 0.4687194525904203, 'F': 0.5312805474095796}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,J,F,10.860472398817567,6.161591071682738,"{'J': 0.8222195032423835, 'F': 0.17778049675761654}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
10,J,F,12.175598250258407,6.825608970745665,"{'J': 0.8333741130413507, 'F': 0.16662588695864938}","{'J': 0.4921798631476051, 'F': 0.5078201368523949}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
