round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.2043956043956046,2.0912087912087913,"{'J': 0.7956043956043956, 'F': 0.2043956043956044}","{'J': 0.5, 'F': 0.5}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
2,F,F,2.49968239645659,3.6003419519548556,"{'J': 0.43785103785103785, 'F': 0.5621489621489622}","{'J': 0.36656891495601174, 'F': 0.6334310850439883}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
3,F,F,3.872563169917001,5.09944844022465,"{'J': 0.45703125, 'F': 0.54296875}","{'J': 0.4149560117302053, 'F': 0.5850439882697948}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
4,F,F,5.279436786751555,6.564509800305542,"{'J': 0.4456654456654457, 'F': 0.5543345543345544}","{'J': 0.42626953125, 'F': 0.57373046875}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
5,F,F,6.663961086580663,7.916702950830656,"{'J': 0.3629702002931119, 'F': 0.6370297997068881}","{'J': 0.37374725006110976, 'F': 0.6262527499388902}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
6,F,F,8.011483057140333,9.35408021664999,"{'J': 0.40742550073277967, 'F': 0.5925744992672203}","{'J': 0.3774737356462253, 'F': 0.6225262643537748}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
7,F,F,9.331312137295303,10.749612672175827,"{'J': 0.3702979970688813, 'F': 0.6297020029311187}","{'J': 0.34506353861192574, 'F': 0.6549364613880743}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
8,F,F,10.727468375180129,12.191041027702019,"{'J': 0.4263376496457366, 'F': 0.5736623503542634}","{'J': 0.41124694376528115, 'F': 0.5887530562347189}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
9,F,F,12.111960566091605,13.65536552335522,"{'J': 0.43771372740595993, 'F': 0.5622862725940401}","{'J': 0.41110295915871853, 'F': 0.5888970408412815}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
10,F,F,13.545849037319892,15.089447680702953,"{'J': 0.4340175953079179, 'F': 0.5659824046920822}","{'J': 0.43395303326810175, 'F': 0.5660469667318982}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
