round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.8446699863421323,1.7634299572997665,"{'J': 0.7905099669805552, 'F': 0.20949003301944477}","{'J': 0.8175899766613438, 'F': 0.1824100233386562}",6.4,8.0,6.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0
2,J,J,3.5803552846274243,3.6076416999248524,"{'J': 0.8080362611784883, 'F': 0.1919637388215117}","{'J': 0.7718607797318903, 'F': 0.2281392202681097}",6.8,7.0,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
3,J,J,5.124579627150409,5.364667628565417,"{'J': 0.6860920666013712, 'F': 0.31390793339862877}","{'J': 0.6151582045621781, 'F': 0.38484179543782193}",6.4,8.0,6.0,7.0,6.0,8.0,5.0,7.0,8.0,8.0,9.0,8.0
4,J,J,6.737040024241093,7.061862925493528,"{'J': 0.6689503303156349, 'F': 0.33104966968436506}","{'J': 0.6407053637031594, 'F': 0.35929463629684055}",6.4,8.0,6.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0
5,J,J,8.38508948627335,8.741266206230582,"{'J': 0.6689520078354554, 'F': 0.33104799216454456}","{'J': 0.658500734933856, 'F': 0.34149926506614403}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,6.0
6,J,J,9.974075583465037,10.295843607732586,"{'J': 0.5660469667318982, 'F': 0.43395303326810175}","{'J': 0.5775165319617928, 'F': 0.4224834680382072}",6.4,8.2,6.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,9.0,8.0
7,J,J,11.581968336388577,12.055560306687074,"{'J': 0.7091087169441724, 'F': 0.2908912830558276}","{'J': 0.658500734933856, 'F': 0.34149926506614403}",6.4,7.0,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
8,J,J,13.226005449510147,13.825385982308507,"{'J': 0.727896154788146, 'F': 0.27210384521185405}","{'J': 0.6859666339548577, 'F': 0.3140333660451423}",6.4,8.2,6.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,9.0,8.0
9,J,J,14.922983136901834,15.642808734057748,"{'J': 0.7772743969633893, 'F': 0.22272560303661076}","{'J': 0.737126042177538, 'F': 0.262873957822462}",6.4,6.6,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,6.0
10,J,J,16.68058870541427,17.483398702005253,"{'J': 0.8129285014691479, 'F': 0.18707149853085211}","{'J': 0.7852670349907919, 'F': 0.2147329650092081}",6.4,8.2,6.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,9.0,8.0
