round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.546864893760149,2.0428340891316847,"{'J': 0.8775110240078393, 'F': 0.1224889759921607}","{'J': 0.7121879588839941, 'F': 0.2878120411160059}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
2,J,J,3.1408515472858647,3.972075102825717,"{'J': 0.8174895603045935, 'F': 0.18251043969540653}","{'J': 0.7057381069151545, 'F': 0.2942618930848455}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
3,J,J,4.777382548745691,5.919601335200182,"{'J': 0.8438611554029192, 'F': 0.15613884459708083}","{'J': 0.7401960784313726, 'F': 0.25980392156862747}",6.2,7.0,6.0,7.0,6.0,8.0,4.0,6.0,7.0,8.0,8.0,6.0
4,J,J,6.444899985292286,7.8835974936291295,"{'J': 0.8651699178014968, 'F': 0.13483008219850326}","{'J': 0.7663436771740464, 'F': 0.23365632282595364}",6.8,7.0,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
5,J,J,8.09693048851859,9.844242369529464,"{'J': 0.8577734183423247, 'F': 0.14222658165767532}","{'J': 0.7549019607843137, 'F': 0.24509803921568626}",6.8,7.0,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
6,J,J,9.71909600819153,11.80216402362139,"{'J': 0.8460029426189308, 'F': 0.15399705738106914}","{'J': 0.7340842311459354, 'F': 0.26591576885406465}",6.4,7.0,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
7,J,J,11.337290152527807,13.758818361112482,"{'J': 0.8438342731061534, 'F': 0.15616572689384653}","{'J': 0.7310142087212151, 'F': 0.2689857912787849}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
8,J,J,12.912321484398166,15.755180770829156,"{'J': 0.8559187171012363, 'F': 0.14408128289876362}","{'J': 0.7154750244857982, 'F': 0.28452497551420175}",6.8,7.0,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
9,J,J,14.43031621969639,17.726047323739074,"{'J': 0.8199092803726861, 'F': 0.18009071962731396}","{'J': 0.6689520078354554, 'F': 0.33104799216454456}",6.4,7.0,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
10,J,J,15.984207714944796,19.68591139206579,"{'J': 0.8245398773006135, 'F': 0.1754601226993865}","{'J': 0.6892156862745098, 'F': 0.3107843137254902}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
