round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.47800586510263926,2.4428152492668618,"{'J': 0.7878787878787878, 'F': 0.21212121212121213}","{'J': 0.13294232649071358, 'F': 0.8670576735092864}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
2,J,F,1.5066828045827672,4.452437659722397,"{'J': 0.682640586797066, 'F': 0.317359413202934}","{'J': 0.3556587631385969, 'F': 0.6443412368614031}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
3,J,F,2.484723978727276,6.369215947130202,"{'J': 0.6038659163200392, 'F': 0.39613408367996084}","{'J': 0.29095354523227385, 'F': 0.7090464547677262}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
4,J,F,3.509602157315365,8.182895713302042,"{'J': 0.5507459036439227, 'F': 0.44925409635607727}","{'J': 0.2878120411160059, 'F': 0.7121879588839941}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
5,F,F,4.487695258991311,9.760108331168226,"{'J': 0.37750611246943766, 'F': 0.6224938875305623}","{'J': 0.17779960707269155, 'F': 0.8222003929273084}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,5.583815543785781,11.561021795809115,"{'J': 0.5659824046920822, 'F': 0.4340175953079179}","{'J': 0.3310513447432763, 'F': 0.6689486552567238}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
7,J,F,6.6623914290181,13.376466061556858,"{'J': 0.5698214722426022, 'F': 0.4301785277573979}","{'J': 0.3241986787374602, 'F': 0.6758013212625398}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
8,J,F,7.779342992418489,15.16706072995451,"{'J': 0.5660469667318982, 'F': 0.43395303326810175}","{'J': 0.34149926506614403, 'F': 0.658500734933856}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,J,F,8.889347484164727,16.96123961338963,"{'J': 0.5661207528721584, 'F': 0.4338792471278416}","{'J': 0.33806262230919765, 'F': 0.6619373776908023}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
10,J,F,9.941831926027787,18.69086823394538,"{'J': 0.5039138943248532, 'F': 0.49608610567514677}","{'J': 0.27819916809395645, 'F': 0.7218008319060436}",4.2,3.8,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,6.0,2.0
