round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,F,0.9316738923456355,1.2591722079831693,"{'J': 0.15000610277065787, 'F': 0.8499938972293422}","{'J': 0.040839997558146636, 'F': 0.9591600024418534}",4.6,5.2,4.0,3.0,6.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
2,F,F,2.0992361786182294,2.7037252123798474,"{'J': 0.3522227650219834, 'F': 0.6477772349780166}","{'J': 0.2598925256472887, 'F': 0.7401074743527113}",4.6,4.4,4.0,3.0,6.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
3,F,F,3.3034675917363616,4.0930645839457815,"{'J': 0.32763671875, 'F': 0.67236328125}","{'J': 0.26593406593406593, 'F': 0.734065934065934}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
4,F,F,4.518119606388376,5.546544437425635,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.29426129426129427, 'F': 0.7057387057387058}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
5,F,F,5.8046211940776775,7.106418643580985,"{'J': 0.46875, 'F': 0.53125}","{'J': 0.3776257938446507, 'F': 0.6223742061553493}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
6,J,F,7.156521365983375,8.739062307628135,"{'J': 0.5390625, 'F': 0.4609375}","{'J': 0.4454813359528487, 'F': 0.5545186640471512}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
7,F,F,8.46266317128913,10.141167186225257,"{'J': 0.3701171875, 'F': 0.6298828125}","{'J': 0.3381294964028777, 'F': 0.6618705035971223}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
8,F,F,9.754652018482508,11.550348543878567,"{'J': 0.3701171875, 'F': 0.6298828125}","{'J': 0.33105301734668946, 'F': 0.6689469826533105}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
9,F,F,11.135499765147536,12.987916854229491,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.39975460122699386, 'F': 0.6002453987730061}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
10,F,F,12.505362565932133,14.414123704936362,"{'J': 0.40742550073277967, 'F': 0.5925744992672203}","{'J': 0.3886441507586882, 'F': 0.6113558492413118}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
