round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,F,1.2270386862345415,1.61299729093361,"{'J': 0.4843444227005871, 'F': 0.5156555772994129}","{'J': 0.3556915544675643, 'F': 0.6443084455324357}",5.6,4.2,6.0,4.0,6.0,8.0,4.0,4.0,3.0,4.0,8.0,2.0
2,J,F,2.5560714259749266,3.3261717234117545,"{'J': 0.5851272015655578, 'F': 0.41487279843444225}","{'J': 0.4570799706529714, 'F': 0.5429200293470287}",5.2,4.2,6.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
3,J,F,3.9207004185401404,5.049808733374555,"{'J': 0.6039676708302718, 'F': 0.39603232916972814}","{'J': 0.4842983316977429, 'F': 0.5157016683022572}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
4,F,F,5.265667354616555,6.6273252653363475,"{'J': 0.5, 'F': 0.5}","{'J': 0.4224834680382072, 'F': 0.5775165319617928}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
5,F,F,6.58053360196935,8.20832543419361,"{'J': 0.49228886168910646, 'F': 0.5077111383108935}","{'J': 0.40357755452095073, 'F': 0.5964224454790492}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,7.940609852836554,9.78986535335692,"{'J': 0.5077186963979416, 'F': 0.4922813036020583}","{'J': 0.43389747363257297, 'F': 0.5661025263674271}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
7,F,F,9.282704278112057,11.316125362261396,"{'J': 0.4648714810281518, 'F': 0.5351285189718482}","{'J': 0.4034829531518273, 'F': 0.5965170468481726}",5.2,4.2,4.0,6.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
8,F,F,10.5842216545193,12.85699663000491,"{'J': 0.461086637298091, 'F': 0.5389133627019089}","{'J': 0.38130200685266763, 'F': 0.6186979931473323}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,F,F,11.933776427466448,14.402865036094937,"{'J': 0.48043052837573386, 'F': 0.5195694716242661}","{'J': 0.4149926506614405, 'F': 0.5850073493385596}",5.2,4.2,6.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
10,J,F,13.31293748242917,15.992667466498002,"{'J': 0.519588638589618, 'F': 0.480411361410382}","{'J': 0.4493748467761706, 'F': 0.5506251532238293}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
