round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.867190753001038,2.0104047456033305,"{'J': 0.9626667480692329, 'F': 0.037333251930767114}","{'J': 0.9149287505351354, 'F': 0.08507124946486454}",6.0,4.0,4.0,6.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
2,J,J,3.319574991956948,3.837989208867981,"{'J': 0.7025177218284038, 'F': 0.29748227817159617}","{'J': 0.5774509803921568, 'F': 0.42254901960784313}",3.4,4.0,2.0,3.0,2.0,8.0,2.0,4.0,4.0,4.0,4.0,4.0
3,J,J,4.808839515986579,5.487926418477432,"{'J': 0.5963796477495108, 'F': 0.40362035225048926}","{'J': 0.5428220858895706, 'F': 0.45717791411042946}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
4,J,J,6.335020789715333,7.191086698707699,"{'J': 0.6441672780630961, 'F': 0.3558327219369039}","{'J': 0.5851742758959254, 'F': 0.41482572410407464}",6.0,3.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
5,J,J,7.8937262901672725,8.828767722343697,"{'J': 0.6113558492413118, 'F': 0.3886441507586882}","{'J': 0.5850306748466257, 'F': 0.41496932515337426}",5.4,3.4,4.0,5.0,6.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
6,J,J,9.471198983920697,10.429165002486075,"{'J': 0.5927557513460597, 'F': 0.40724424865394027}","{'J': 0.5851142225497421, 'F': 0.4148857774502579}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
7,J,J,11.011338234205393,12.10379809327228,"{'J': 0.629801810619036, 'F': 0.37019818938096405}","{'J': 0.5849705304518664, 'F': 0.4150294695481336}",3.4,3.4,2.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
8,J,J,12.636554724074005,13.849926999586138,"{'J': 0.7058247674987763, 'F': 0.2941752325012237}","{'J': 0.6655206286836935, 'F': 0.3344793713163065}",5.4,3.4,4.0,5.0,6.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
9,J,J,14.294415483104887,15.6221229667896,"{'J': 0.7340842311459354, 'F': 0.26591576885406465}","{'J': 0.6959724950884086, 'F': 0.30402750491159136}",6.0,5.0,4.0,6.0,8.0,8.0,4.0,4.0,5.0,4.0,8.0,4.0
10,J,J,15.931494926709664,17.39555976162126,"{'J': 0.7279843444227005, 'F': 0.2720156555772994}","{'J': 0.6825318940137389, 'F': 0.317468105986261}",3.4,5.0,2.0,3.0,2.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
