round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.2319203129841316,2.325476881450135,"{'J': 0.9609580252948006, 'F': 0.03904197470519949}","{'J': 0.5964391691394659, 'F': 0.4035608308605341}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
2,J,J,2.375987769925504,4.572156782382206,"{'J': 0.8791424196018377, 'F': 0.12085758039816233}","{'J': 0.5116049382716049, 'F': 0.4883950617283951}",7.2,7.0,6.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
3,J,F,3.397860190564564,6.773289749052742,"{'J': 0.8080461179933767, 'F': 0.19195388200662333}","{'J': 0.41495926931621824, 'F': 0.5850407306837818}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
4,J,J,4.676352457811088,8.93717779760382,"{'J': 0.8687561214495593, 'F': 0.13124387855044076}","{'J': 0.5736241943480417, 'F': 0.4263758056519584}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
5,J,J,5.878061201247307,11.162310570054672,"{'J': 0.8839914294459749, 'F': 0.1160085705540251}","{'J': 0.5428500864410966, 'F': 0.45714991355890344}",7.2,7.0,6.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
6,J,F,7.028040584688792,13.327433526797257,"{'J': 0.8267417656422187, 'F': 0.17325823435778132}","{'J': 0.4883605745418524, 'F': 0.5116394254581476}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
7,J,F,8.16751295847296,15.501159586682338,"{'J': 0.8289748311847759, 'F': 0.17102516881522406}","{'J': 0.48422360248447205, 'F': 0.515776397515528}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
8,J,F,9.303958069454696,17.704884064050713,"{'J': 0.8479646885728298, 'F': 0.1520353114271702}","{'J': 0.4922048997772829, 'F': 0.5077951002227171}",7.0,7.0,6.0,7.0,8.0,9.0,5.0,6.0,7.0,8.0,8.0,6.0
9,J,J,10.480987156190533,19.8972023437079,"{'J': 0.8538885486834048, 'F': 0.14611145131659523}","{'J': 0.5154588177096215, 'F': 0.48454118229037846}",7.2,7.0,6.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
10,J,J,11.620022922615222,22.13104148083371,"{'J': 0.868904680225435, 'F': 0.13109531977456507}","{'J': 0.503970223325062, 'F': 0.49602977667493797}",7.2,7.0,6.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
