round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8203029679567846,2.1387482715228296,"{'J': 0.6992665036674817, 'F': 0.30073349633251834}","{'J': 0.25978473581213307, 'F': 0.7402152641878669}",5.6,5.2,6.0,4.0,7.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
2,J,F,1.978990019305221,4.020491383146703,"{'J': 0.640724424865394, 'F': 0.35927557513460595}","{'J': 0.3997057381069152, 'F': 0.6002942618930849}",5.6,5.2,6.0,4.0,7.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
3,J,F,3.1228412271577586,5.865599553082402,"{'J': 0.6113558492413118, 'F': 0.3886441507586882}","{'J': 0.37760352854692475, 'F': 0.6223964714530752}",5.2,5.6,6.0,4.0,5.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
4,J,F,4.260290326833871,7.605385641542218,"{'J': 0.5390070921985816, 'F': 0.46099290780141844}","{'J': 0.33822809593734704, 'F': 0.661771904062653}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
5,J,F,5.463326685696772,9.398578529691571,"{'J': 0.5964740450538688, 'F': 0.40352595494613125}","{'J': 0.3997552019583843, 'F': 0.6002447980416157}",5.2,5.6,6.0,4.0,5.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
6,J,F,6.723901616677303,11.191029450509374,"{'J': 0.615158924205379, 'F': 0.384841075794621}","{'J': 0.437866927592955, 'F': 0.562133072407045}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
7,J,F,8.01470842676651,12.94584614817937,"{'J': 0.6001467351430667, 'F': 0.39985326485693323}","{'J': 0.44547677261613694, 'F': 0.5545232273838631}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
8,J,F,9.33618574222783,14.685474687511133,"{'J': 0.6002447980416157, 'F': 0.3997552019583843}","{'J': 0.4608610567514677, 'F': 0.5391389432485323}",5.0,5.2,6.0,4.0,5.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
9,J,F,10.657553554714468,16.379416331928606,"{'J': 0.5697503671071953, 'F': 0.4302496328928047}","{'J': 0.44555908979691705, 'F': 0.554440910203083}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
10,J,F,11.991567161989323,18.129504172458457,"{'J': 0.6113964294448521, 'F': 0.38860357055514794}","{'J': 0.4727050183598531, 'F': 0.5272949816401469}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
