round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.691392432232673,2.2691339817825154,"{'J': 0.7432201319325678, 'F': 0.2567798680674322}","{'J': 0.2173062820826204, 'F': 0.7826937179173796}",5.2,4.2,4.0,5.0,6.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
2,F,F,1.928253225902273,3.830654685192214,"{'J': 0.45330073349633254, 'F': 0.5466992665036675}","{'J': 0.34508076358296624, 'F': 0.6549192364170338}",4.6,5.2,4.0,3.0,6.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
3,J,F,3.171653560557488,5.476567042326446,"{'J': 0.5117416829745597, 'F': 0.4882583170254403}","{'J': 0.37757100881488737, 'F': 0.6224289911851126}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
4,F,F,4.361899461598012,7.078947762878137,"{'J': 0.46500244738130203, 'F': 0.534997552618698}","{'J': 0.32762417421091267, 'F': 0.6723758257890874}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
5,J,F,5.500737711376414,8.794911185043446,"{'J': 0.5235883647030066, 'F': 0.4764116352969934}","{'J': 0.3312133072407045, 'F': 0.6687866927592955}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
6,F,F,6.661961418407974,10.43478332077235,"{'J': 0.48032265949645564, 'F': 0.5196773405035444}","{'J': 0.32077318326400783, 'F': 0.6792268167359922}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
7,F,F,7.896982205886575,12.03223991162586,"{'J': 0.47664465639520665, 'F': 0.5233553436047933}","{'J': 0.3558327219369039, 'F': 0.6441672780630961}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
8,F,F,9.159887068184434,13.639045797502371,"{'J': 0.49217221135029354, 'F': 0.5078277886497065}","{'J': 0.37753853682407634, 'F': 0.6224614631759237}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,F,F,10.482672448328007,15.204336093966692,"{'J': 0.4844553243574051, 'F': 0.5155446756425949}","{'J': 0.40362035225048926, 'F': 0.5963796477495108}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
10,J,F,11.73737828648192,16.838724857864296,"{'J': 0.5078277886497065, 'F': 0.49217221135029354}","{'J': 0.38126681340180973, 'F': 0.6187331865981903}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
