round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.6963758629028491,1.914545670600609,"{'J': 0.8418224013680224, 'F': 0.15817759863197753}","{'J': 0.7690991321354358, 'F': 0.23090086786456424}",5.2,5.2,4.0,6.0,4.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
2,J,J,3.135622063100935,3.733778875486904,"{'J': 0.6925708699902249, 'F': 0.3074291300097752}","{'J': 0.5659085350941551, 'F': 0.43409146490584494}",4.4,6.4,4.0,5.0,4.0,6.0,3.0,6.0,7.0,6.0,8.0,5.0
3,J,J,4.5415456590640355,5.4809637050713365,"{'J': 0.6334310850439883, 'F': 0.36656891495601174}","{'J': 0.5196773405035444, 'F': 0.48032265949645564}",5.2,5.2,4.0,6.0,4.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
4,J,J,6.027213364462187,7.231035918908464,"{'J': 0.6619373776908023, 'F': 0.33806262230919765}","{'J': 0.5738025415444771, 'F': 0.426197458455523}",5.2,5.2,4.0,6.0,4.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
5,J,J,7.502582024104864,8.943461640444426,"{'J': 0.6334067009048667, 'F': 0.3665932990951333}","{'J': 0.5543876802737717, 'F': 0.4456123197262283}",5.0,5.2,4.0,5.0,4.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
6,J,J,9.00627201593894,10.668599994184586,"{'J': 0.6513222331047992, 'F': 0.3486777668952008}","{'J': 0.5775061124694376, 'F': 0.42249388753056233}",4.6,5.2,4.0,5.0,4.0,8.0,2.0,4.0,6.0,4.0,8.0,4.0
7,J,J,10.49457021714786,12.40146800849455,"{'J': 0.6513447432762837, 'F': 0.3486552567237164}","{'J': 0.5698214722426022, 'F': 0.4301785277573979}",4.6,5.2,4.0,5.0,4.0,8.0,2.0,4.0,6.0,4.0,8.0,4.0
8,J,J,11.968872713476788,14.081350534192055,"{'J': 0.6113558492413118, 'F': 0.3886441507586882}","{'J': 0.5428291727851199, 'F': 0.45717082721488006}",4.8,5.6,4.0,6.0,4.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
9,J,J,13.447279427499444,15.764772054751734,"{'J': 0.6150832517140059, 'F': 0.38491674828599415}","{'J': 0.5467449828683308, 'F': 0.4532550171316691}",4.6,5.4,4.0,5.0,4.0,8.0,2.0,4.0,6.0,5.0,8.0,4.0
10,J,J,14.945451850000033,17.443732833222438,"{'J': 0.6186979931473323, 'F': 0.38130200685266763}","{'J': 0.5584352078239608, 'F': 0.4415647921760391}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,6.0,4.0,8.0,4.0
