round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.7491145633772545,1.76644797696369,"{'J': 0.7606701724348783, 'F': 0.2393298275651217}","{'J': 0.7548923679060665, 'F': 0.24510763209393346}",4.8,5.8,6.0,4.0,4.0,8.0,2.0,6.0,5.0,6.0,8.0,4.0
2,J,J,3.438873235464594,3.4850179304839597,"{'J': 0.7089661930426262, 'F': 0.29103380695737385}","{'J': 0.6993624325649829, 'F': 0.3006375674350172}",4.6,5.2,6.0,4.0,3.0,8.0,2.0,6.0,4.0,6.0,8.0,2.0
3,J,J,5.1187937898311455,5.29029196138829,"{'J': 0.7634895387250703, 'F': 0.23651046127492964}","{'J': 0.7217050465458109, 'F': 0.27829495345418914}",5.2,5.2,6.0,4.0,6.0,8.0,2.0,6.0,4.0,6.0,8.0,2.0
4,J,J,6.802458980405998,7.040435882734914,"{'J': 0.7279843444227005, 'F': 0.2720156555772994}","{'J': 0.7058247674987763, 'F': 0.2941752325012237}",4.8,5.2,4.0,6.0,4.0,8.0,2.0,6.0,4.0,6.0,8.0,2.0
5,J,J,8.47912604200461,8.775207486409935,"{'J': 0.7154034229828851, 'F': 0.28459657701711494}","{'J': 0.6960352422907489, 'F': 0.3039647577092511}",4.8,5.2,6.0,4.0,4.0,8.0,2.0,6.0,4.0,6.0,8.0,2.0
6,J,J,10.156740832690932,10.537452207533619,"{'J': 0.7340347443112307, 'F': 0.2659652556887693}","{'J': 0.7058247674987763, 'F': 0.2941752325012237}",4.8,4.8,6.0,4.0,4.0,8.0,2.0,6.0,4.0,4.0,8.0,2.0
7,J,J,11.809900212503956,12.288905785728868,"{'J': 0.7186888454011742, 'F': 0.28131115459882583}","{'J': 0.6859241126070992, 'F': 0.3140758873929009}",5.2,5.4,6.0,4.0,6.0,8.0,2.0,6.0,5.0,4.0,8.0,4.0
8,J,J,13.480496734242253,14.04558404149377,"{'J': 0.7279843444227005, 'F': 0.2720156555772994}","{'J': 0.6992904330804991, 'F': 0.30070956691950085}",4.6,4.8,4.0,5.0,4.0,8.0,2.0,4.0,6.0,4.0,8.0,2.0
9,J,J,15.13375568686277,15.796838474074033,"{'J': 0.7185892725936811, 'F': 0.2814107274063189}","{'J': 0.6859241126070992, 'F': 0.3140758873929009}",4.6,4.8,4.0,5.0,4.0,8.0,2.0,6.0,4.0,4.0,8.0,2.0
10,J,J,16.78002136145076,17.541987575106027,"{'J': 0.7121879588839941, 'F': 0.2878120411160059}","{'J': 0.6792268167359922, 'F': 0.32077318326400783}",4.8,5.2,6.0,4.0,4.0,8.0,2.0,6.0,4.0,6.0,8.0,2.0
