round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.3115484714138723,2.298904528842601,"{'J': 0.9697858430330247, 'F': 0.030214156966975225}","{'J': 0.6406671572234486, 'F': 0.35933284277655136}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
2,J,J,2.641711485207236,4.527959032229326,"{'J': 0.9294240068556039, 'F': 0.07057599314439615}","{'J': 0.6297935103244838, 'F': 0.3702064896755162}",7.2,6.4,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
3,J,J,3.886939188352926,6.724066865485671,"{'J': 0.8791477898861271, 'F': 0.1208522101138729}","{'J': 0.5621877465159085, 'F': 0.43781225348409153}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
4,J,J,5.1393972142995565,8.847807234018786,"{'J': 0.8333129210042866, 'F': 0.16668707899571342}","{'J': 0.5428854734754586, 'F': 0.4571145265245414}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
5,J,J,6.3092874777094,11.03182423930688,"{'J': 0.8459747579953437, 'F': 0.15402524200465628}","{'J': 0.5079325107025938, 'F': 0.4920674892974062}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
6,J,J,7.764109868768155,13.107694777523633,"{'J': 0.8688544891640867, 'F': 0.1311455108359133}","{'J': 0.6618384401114206, 'F': 0.3381615598885794}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
7,J,J,9.076518570323717,15.226545831818495,"{'J': 0.8500369367150948, 'F': 0.1499630632849052}","{'J': 0.5812228191353287, 'F': 0.41877718086467125}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
8,J,J,10.38699144476986,17.360883731424543,"{'J': 0.8597162245527452, 'F': 0.1402837754472548}","{'J': 0.5850945494994438, 'F': 0.41490545050055616}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
9,J,J,11.788128706848658,19.426239265070414,"{'J': 0.8439494431235139, 'F': 0.15605055687648606}","{'J': 0.6225433526011561, 'F': 0.37745664739884394}",7.0,6.4,6.0,7.0,8.0,9.0,5.0,6.0,7.0,6.0,8.0,5.0
10,J,J,13.29520423538743,21.470469189034098,"{'J': 0.8651784588220457, 'F': 0.13482154117795433}","{'J': 0.6861269936804093, 'F': 0.31387300631959075}",7.0,7.0,6.0,7.0,8.0,9.0,5.0,6.0,7.0,8.0,9.0,5.0
