round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.0730748247618527,2.271965405555854,"{'J': 0.8723352119578535, 'F': 0.12766478804214654}","{'J': 0.4727050183598531, 'F': 0.5272949816401469}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
2,J,F,2.1274189977017386,4.105400864406832,"{'J': 0.5737383635472807, 'F': 0.42626163645271925}","{'J': 0.3140412682435833, 'F': 0.6859587317564168}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
3,J,F,3.118460189855278,6.015791598379323,"{'J': 0.6039408866995074, 'F': 0.3960591133004926}","{'J': 0.2974910394265233, 'F': 0.7025089605734767}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
4,F,F,4.286420468793653,7.652465247914593,"{'J': 0.4804358593363051, 'F': 0.5195641406636949}","{'J': 0.3241980691373404, 'F': 0.6758019308626596}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
5,J,F,5.4322475234008145,9.364702189283928,"{'J': 0.5234336457819437, 'F': 0.47656635421805627}","{'J': 0.3346303501945525, 'F': 0.6653696498054474}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
6,J,F,6.454861193999557,11.173256785855227,"{'J': 0.5465742879137798, 'F': 0.4534257120862202}","{'J': 0.28459397925626106, 'F': 0.7154060207437389}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
7,J,F,7.688915887143899,12.995536550509938,"{'J': 0.6262047408179213, 'F': 0.3737952591820787}","{'J': 0.43012971698113206, 'F': 0.5698702830188679}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
8,J,F,8.792206811942304,14.888598829027007,"{'J': 0.6298051606108478, 'F': 0.3701948393891522}","{'J': 0.3665480427046263, 'F': 0.6334519572953736}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
9,J,F,10.1770343981492,16.618943656613215,"{'J': 0.6151724137931035, 'F': 0.38482758620689655}","{'J': 0.5, 'F': 0.5}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
10,J,F,11.339566637445753,18.493203502344432,"{'J': 0.637017310252996, 'F': 0.362982689747004}","{'J': 0.3997747747747748, 'F': 0.6002252252252253}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
