round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1298065148175362,2.088660298799902,"{'J': 0.7690423708057801, 'F': 0.23095762919421994}","{'J': 0.4494244428116581, 'F': 0.550575557188342}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,5.0
2,J,F,2.4037497239305936,3.970570499049651,"{'J': 0.6792545365375184, 'F': 0.3207454634624816}","{'J': 0.4765988728252879, 'F': 0.5234011271747121}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
3,J,F,3.640494233498746,5.84509910105872,"{'J': 0.6619339045287638, 'F': 0.3380660954712362}","{'J': 0.44933920704845814, 'F': 0.5506607929515418}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
4,J,F,4.888108620579734,7.698292152196474,"{'J': 0.6513334964521654, 'F': 0.34866650354783457}","{'J': 0.44947394176657696, 'F': 0.550526058233423}",6.8,5.6,6.0,7.0,8.0,9.0,4.0,6.0,4.0,7.0,8.0,3.0
5,J,F,6.192249428841528,9.554785486749207,"{'J': 0.6723758257890874, 'F': 0.32762417421091267}","{'J': 0.4882583170254403, 'F': 0.5117416829745597}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,5.0
6,J,F,7.504218025753028,11.407364926977088,"{'J': 0.6723758257890874, 'F': 0.32762417421091267}","{'J': 0.49217221135029354, 'F': 0.5078277886497065}",6.4,5.6,6.0,7.0,6.0,8.0,5.0,6.0,4.0,7.0,8.0,3.0
7,J,F,8.825579586322462,13.22907592952436,"{'J': 0.6549278552213255, 'F': 0.3450721447786745}","{'J': 0.4881447078953801, 'F': 0.5118552921046199}",7.0,5.6,6.0,7.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,3.0
8,J,J,10.174153202041978,15.078517106009024,"{'J': 0.6824853228962818, 'F': 0.3175146771037182}","{'J': 0.5155294693078992, 'F': 0.4844705306921008}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,5.0
9,J,J,11.554018697820874,16.912329768156297,"{'J': 0.6824969400244798, 'F': 0.3175030599755202}","{'J': 0.5311812179016875, 'F': 0.46881878209831257}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,5.0
10,J,J,12.877466561951966,18.82381837281945,"{'J': 0.7154750244857982, 'F': 0.28452497551420175}","{'J': 0.5194614443084455, 'F': 0.48053855569155446}",6.4,5.6,6.0,7.0,6.0,8.0,5.0,6.0,4.0,6.0,8.0,4.0
