round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.4797483553203532,1.9300708437203975,"{'J': 0.7799633475870494, 'F': 0.2200366524129505}","{'J': 0.6298558514537015, 'F': 0.37014414854629857}",5.2,6.8,4.0,6.0,4.0,8.0,4.0,6.0,8.0,6.0,8.0,6.0
2,J,F,2.7625339473609247,3.655035242911448,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.4301785277573979, 'F': 0.5698214722426022}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
3,J,J,4.174706793784223,5.36588016590063,"{'J': 0.6112875641338871, 'F': 0.38871243586611287}","{'J': 0.5117302052785924, 'F': 0.48826979472140764}",5.4,6.0,4.0,6.0,5.0,8.0,4.0,6.0,6.0,6.0,8.0,4.0
4,J,F,5.577420886290627,7.025226931964144,"{'J': 0.5738025415444771, 'F': 0.426197458455523}","{'J': 0.4882583170254403, 'F': 0.5117416829745597}",5.6,6.4,4.0,6.0,6.0,8.0,4.0,6.0,7.0,6.0,8.0,5.0
5,J,J,6.979124668043045,8.769118317371554,"{'J': 0.6298288508557457, 'F': 0.37017114914425425}","{'J': 0.5157663163040821, 'F': 0.48423368369591785}",5.2,6.4,4.0,6.0,5.0,8.0,3.0,6.0,8.0,6.0,8.0,4.0
6,J,J,8.414928042951336,10.479316409814693,"{'J': 0.6187331865981903, 'F': 0.38126681340180973}","{'J': 0.5272682807532404, 'F': 0.4727317192467596}",5.2,6.4,4.0,6.0,5.0,8.0,3.0,6.0,7.0,6.0,8.0,5.0
7,J,J,9.819736416111546,12.204959212955586,"{'J': 0.6186979931473323, 'F': 0.38130200685266763}","{'J': 0.5117531831537708, 'F': 0.48824681684622917}",5.2,5.6,4.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
8,J,F,11.207675050151133,13.89416403260001,"{'J': 0.588782757776145, 'F': 0.41121724222385503}","{'J': 0.48836069590786574, 'F': 0.5116393040921343}",4.8,6.4,4.0,5.0,4.0,8.0,3.0,6.0,6.0,6.0,8.0,6.0
9,J,F,12.551893852481946,15.553999756373358,"{'J': 0.5546300832925036, 'F': 0.4453699167074963}","{'J': 0.4494244428116581, 'F': 0.550575557188342}",4.8,5.4,4.0,5.0,4.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
10,J,F,13.916210429963044,17.25523196248827,"{'J': 0.5889269965703087, 'F': 0.41107300342969133}","{'J': 0.4766217870257038, 'F': 0.5233782129742962}",5.2,5.2,4.0,6.0,4.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
