round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.02775644072039,1.7419926211270846,"{'J': 0.5039138943248532, 'F': 0.49608610567514677}","{'J': 0.26583516752262165, 'F': 0.7341648324773783}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
2,F,F,2.2315276197042606,3.2568471197408764,"{'J': 0.4111600587371512, 'F': 0.5888399412628488}","{'J': 0.3074656188605108, 'F': 0.6925343811394892}",4.2,4.4,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,3.0
3,J,F,3.492829529828761,4.911421213602305,"{'J': 0.5234833659491194, 'F': 0.4765166340508806}","{'J': 0.3923926380368098, 'F': 0.6076073619631902}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
4,J,F,4.772818706418386,6.562175523985907,"{'J': 0.527165932452276, 'F': 0.47283406754772395}","{'J': 0.40357755452095073, 'F': 0.5964224454790492}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
5,F,F,6.025145996962237,8.156981991403839,"{'J': 0.48064674179323863, 'F': 0.5193532582067614}","{'J': 0.36648701616854484, 'F': 0.6335129838314552}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
6,J,F,7.3311539312726355,9.847268915531696,"{'J': 0.5621939275220372, 'F': 0.43780607247796277}","{'J': 0.43410093091621754, 'F': 0.5658990690837825}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
7,J,F,8.574421135061367,11.49328237246086,"{'J': 0.5117647058823529, 'F': 0.48823529411764705}","{'J': 0.37751595483554246, 'F': 0.6224840451644575}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
8,J,F,9.820578965945671,13.167021082477703,"{'J': 0.5312117503059975, 'F': 0.46878824969400246}","{'J': 0.3886847905951506, 'F': 0.6113152094048494}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
9,J,F,11.074817391021048,14.813408236247556,"{'J': 0.5156709108716944, 'F': 0.4843290891283056}","{'J': 0.3849546679735359, 'F': 0.615045332026464}",4.2,4.8,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,3.0
10,F,F,12.27206960071924,16.412037706012526,"{'J': 0.4648370497427101, 'F': 0.5351629502572899}","{'J': 0.3310446297204512, 'F': 0.6689553702795488}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
