round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.644459761989501,1.6226112911303419,"{'J': 0.6298941147500615, 'F': 0.3701058852499384}","{'J': 0.6371769383697813, 'F': 0.3628230616302187}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
2,J,J,3.1818527267140375,3.325547763874142,"{'J': 0.6477553034040454, 'F': 0.3522446965959546}","{'J': 0.592574134064291, 'F': 0.40742586593570895}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
3,J,J,4.683172905287412,5.123662123708524,"{'J': 0.6991829660807131, 'F': 0.30081703391928694}","{'J': 0.6002515723270441, 'F': 0.399748427672956}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
4,J,J,6.185154956933216,6.817389755338731,"{'J': 0.629812438302073, 'F': 0.37018756169792694}","{'J': 0.5658972449739389, 'F': 0.43410275502606105}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
5,J,J,7.640332499897811,8.523561141453085,"{'J': 0.6225067717311007, 'F': 0.3774932282688993}","{'J': 0.5388421573478476, 'F': 0.46115784265215237}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
6,J,J,9.119989653883465,10.239321017458037,"{'J': 0.6370589686651863, 'F': 0.3629410313348137}","{'J': 0.5583580613254204, 'F': 0.4416419386745796}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
7,J,J,10.617894544285203,11.918623010126991,"{'J': 0.618836291913215, 'F': 0.381163708086785}","{'J': 0.5583705911574764, 'F': 0.4416294088425236}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
8,J,J,12.180230761837738,13.548950575021923,"{'J': 0.607663782447466, 'F': 0.392336217552534}","{'J': 0.585, 'F': 0.415}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
9,J,J,13.672851064653894,15.157343393910875,"{'J': 0.5698019801980198, 'F': 0.4301980198019802}","{'J': 0.5312111415070878, 'F': 0.4687888584929122}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
10,J,J,15.153659532805161,16.731405347598432,"{'J': 0.5429774585087936, 'F': 0.45702254149120636}","{'J': 0.5118929633300298, 'F': 0.48810703666997024}",8.4,8.6,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0
