round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.0613875895445546,1.9881188121175344,"{'J': 0.679208404593208, 'F': 0.3207915954067921}","{'J': 0.3702979970688813, 'F': 0.6297020029311187}",5.2,4.0,4.0,5.0,6.0,8.0,3.0,4.0,3.0,5.0,6.0,2.0
2,F,F,2.49905274016072,3.4493057776008538,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.44550575557188343, 'F': 0.5544942444281166}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
3,J,F,3.9522174953931106,5.0311768571065745,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.4960668633235005, 'F': 0.5039331366764995}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
4,F,F,5.38206444702257,6.41596012615988,"{'J': 0.3998044965786901, 'F': 0.6001955034213099}","{'J': 0.41482572410407464, 'F': 0.5851742758959254}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
5,J,J,6.870497517086824,7.986060717929609,"{'J': 0.5428780845345712, 'F': 0.4571219154654288}","{'J': 0.5156555772994129, 'F': 0.4843444227005871}",4.6,5.2,4.0,3.0,6.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
6,J,F,8.29642698198416,9.563998406610802,"{'J': 0.5272682807532404, 'F': 0.4727317192467596}","{'J': 0.4765988728252879, 'F': 0.5234011271747121}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
7,F,F,9.690965421849253,11.111043199884419,"{'J': 0.49620934213744194, 'F': 0.5037906578625581}","{'J': 0.44537389100126745, 'F': 0.5546261089987325}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
8,J,F,11.151956415297859,12.677319530012648,"{'J': 0.5311812179016875, 'F': 0.46881878209831257}","{'J': 0.49608610567514677, 'F': 0.5039138943248532}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
9,F,F,12.643894951658456,14.111301362076848,"{'J': 0.45330073349633254, 'F': 0.5466992665036675}","{'J': 0.4726196349284657, 'F': 0.5273803650715343}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
10,J,J,14.1361990140587,15.673659969174597,"{'J': 0.5390070921985816, 'F': 0.46099290780141844}","{'J': 0.5156555772994129, 'F': 0.4843444227005871}",5.2,6.0,4.0,5.0,6.0,8.0,3.0,6.0,5.0,7.0,8.0,4.0
