round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.7031506898352609,1.7403391303834264,"{'J': 0.7279429835340379, 'F': 0.27205701646596214}","{'J': 0.7155468366846494, 'F': 0.28445316331535064}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
2,J,J,3.180053879084974,3.4842014635404412,"{'J': 0.6548759518545811, 'F': 0.3451240481454188}","{'J': 0.5658895705521473, 'F': 0.4341104294478528}",7.0,6.4,6.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,5.0
3,J,J,4.666785341721925,5.174381588033638,"{'J': 0.6223639038744483, 'F': 0.37763609612555177}","{'J': 0.5545476832556999, 'F': 0.4454523167443001}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
4,J,J,6.176127864739536,6.8422783245645284,"{'J': 0.615045332026464, 'F': 0.3849546679735359}","{'J': 0.5621939275220372, 'F': 0.43780607247796277}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
5,J,J,7.658366451972798,8.51817351658502,"{'J': 0.6113429904247484, 'F': 0.3886570095752517}","{'J': 0.5467907888290053, 'F': 0.4532092111709946}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
6,J,J,9.209875685249623,10.170497717680597,"{'J': 0.6187192118226601, 'F': 0.3812807881773399}","{'J': 0.5851142225497421, 'F': 0.4148857774502579}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
7,J,J,10.723578338492645,11.932333383928523,"{'J': 0.679124661912958, 'F': 0.32087533808704205}","{'J': 0.5964136575779907, 'F': 0.40358634242200936}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
8,J,J,12.273942780767587,13.665511133285273,"{'J': 0.6722399803294812, 'F': 0.3277600196705188}","{'J': 0.6113022113022113, 'F': 0.3886977886977887}",6.8,6.4,6.0,7.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
9,J,J,13.822003343034764,15.336089419359956,"{'J': 0.6297390448055146, 'F': 0.3702609551944855}","{'J': 0.5888998035363457, 'F': 0.4111001964636542}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
10,J,J,15.365098309473371,17.073169000473904,"{'J': 0.6724180428888341, 'F': 0.3275819571111659}","{'J': 0.6077565046637211, 'F': 0.39224349533627884}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
