round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.5439013026438573,0.2779504315432452,"{'J': 0.8757619556337586, 'F': 0.12423804436624143}","{'J': 0.46483608854020736, 'F': 0.5351639114597927}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
2,J,J,-1.0275703312913333,0.37233622596529636,"{'J': 0.8007041368037219, 'F': 0.19929586319627812}","{'J': 0.5116767252689582, 'F': 0.4883232747310417}",6.0,6.8,4.0,6.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,6.0
3,J,F,-1.5482426150919817,0.5625568006261636,"{'J': 0.8397905759162304, 'F': 0.16020942408376965}","{'J': 0.4843441466854725, 'F': 0.5156558533145275}",6.0,7.0,4.0,6.0,7.0,8.0,5.0,6.0,7.0,8.0,8.0,6.0
4,J,F,-2.087816419069827,0.8157697165956446,"{'J': 0.8652219873150105, 'F': 0.13477801268498943}","{'J': 0.4688286273413475, 'F': 0.5311713726586526}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,F,-2.617899850611736,1.0441318236582187,"{'J': 0.855870754356952, 'F': 0.14412924564304797}","{'J': 0.47664798505471045, 'F': 0.5233520149452896}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,J,F,-3.1497888269115766,1.1941236336878178,"{'J': 0.8175759071834116, 'F': 0.1824240928165885}","{'J': 0.4766355140186916, 'F': 0.5233644859813084}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
7,J,F,-3.6769238357811207,1.3071858154646812,"{'J': 0.8006971243620067, 'F': 0.1993028756379933}","{'J': 0.48059852903880296, 'F': 0.519401470961197}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,F,-4.176923835781121,1.4328702355741885,"{'J': 0.8128422100547537, 'F': 0.1871577899452464}","{'J': 0.5, 'F': 0.5}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,J,F,-4.698496045435849,1.5536774040028332,"{'J': 0.8056554632270867, 'F': 0.1943445367729133}","{'J': 0.4844657741854004, 'F': 0.5155342258145996}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,J,F,-5.219942874616628,1.6940423217141383,"{'J': 0.8152456379160995, 'F': 0.1847543620839005}","{'J': 0.4843397644700576, 'F': 0.5156602355299423}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
