round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.589664740205512,0.2654951303063478,"{'J': 0.8577723378212975, 'F': 0.14222766217870256}","{'J': 0.43019240256536756, 'F': 0.5698075974346325}",3.8,5.2,2.0,4.0,3.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
2,J,J,-0.9717147512178124,0.32896432650549634,"{'J': 0.8079812784825717, 'F': 0.19201872151742824}","{'J': 0.5852216748768473, 'F': 0.4147783251231527}",5.4,5.2,4.0,6.0,5.0,8.0,4.0,4.0,5.0,6.0,8.0,3.0
3,J,J,-1.436047231802094,0.5058471545808189,"{'J': 0.8479582971329279, 'F': 0.1520417028670721}","{'J': 0.5273506428031258, 'F': 0.47264935719687423}",3.8,3.8,2.0,4.0,3.0,8.0,2.0,2.0,4.0,3.0,8.0,2.0
4,J,J,-1.925411286132536,0.631316711904347,"{'J': 0.8151823368891093, 'F': 0.1848176631108906}","{'J': 0.5077655310621243, 'F': 0.49223446893787576}",5.8,5.6,4.0,6.0,7.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
5,J,F,-2.4969159959346694,0.7526732267284015,"{'J': 0.7956698240866035, 'F': 0.20433017591339647}","{'J': 0.4492392117735096, 'F': 0.5507607882264904}",6.0,3.8,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,8.0,2.0
6,J,F,-3.055152528632741,0.9246584722521085,"{'J': 0.8221538461538461, 'F': 0.17784615384615385}","{'J': 0.45704295704295705, 'F': 0.542957042957043}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,3.0
7,J,F,-3.5999203233098536,1.0075787841772672,"{'J': 0.7826408580939465, 'F': 0.21735914190605352}","{'J': 0.4687968047928108, 'F': 0.5312031952071892}",5.8,3.8,4.0,6.0,7.0,8.0,4.0,2.0,4.0,3.0,8.0,2.0
8,J,J,-4.071945999467264,1.067047527434087,"{'J': 0.7853183889641582, 'F': 0.21468161103584185}","{'J': 0.5195711792570431, 'F': 0.48042882074295684}",3.8,5.4,2.0,4.0,3.0,8.0,2.0,4.0,6.0,5.0,8.0,4.0
9,J,F,-4.571945999467264,1.1733622782974318,"{'J': 0.8031573754316724, 'F': 0.19684262456832757}","{'J': 0.5, 'F': 0.5}",6.0,3.8,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,8.0,2.0
10,J,F,-5.0825515615739825,1.3273407505663646,"{'J': 0.8244425280275964, 'F': 0.1755574719724036}","{'J': 0.49215051083977074, 'F': 0.5078494891602292}",3.8,5.6,2.0,4.0,3.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
