round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.38684549795748485,0.24538509814880832,"{'J': 0.912400733048259, 'F': 0.08759926695174099}","{'J': 0.5962854349951124, 'F': 0.40371456500488756}",5.2,3.8,4.0,6.0,5.0,8.0,3.0,2.0,4.0,3.0,8.0,2.0
2,J,F,-1.0254254704935153,0.4233293463266795,"{'J': 0.8081153752138841, 'F': 0.19188462478611587}","{'J': 0.39985326485693323, 'F': 0.6001467351430667}",5.2,5.4,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
3,J,J,-1.4570704494659792,0.6305865844352065,"{'J': 0.8740523355343605, 'F': 0.12594766446563951}","{'J': 0.554601226993865, 'F': 0.44539877300613495}",5.2,3.8,4.0,6.0,5.0,8.0,3.0,2.0,4.0,3.0,8.0,2.0
4,J,F,-1.981210845877964,0.9169927414979848,"{'J': 0.8856269113149847, 'F': 0.11437308868501529}","{'J': 0.48035363457760316, 'F': 0.5196463654223968}",5.2,3.4,4.0,6.0,5.0,8.0,3.0,2.0,4.0,3.0,6.0,2.0
5,J,J,-2.4389525222655895,1.1871396686926368,"{'J': 0.8991072520484286, 'F': 0.10089274795157148}","{'J': 0.5351629502572899, 'F': 0.4648370497427101}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
6,J,J,-2.9052992903425956,1.4311364345081645,"{'J': 0.8824177168726294, 'F': 0.11758228312737061}","{'J': 0.5272459499263623, 'F': 0.4727540500736377}",5.2,3.8,4.0,6.0,5.0,8.0,3.0,2.0,4.0,3.0,8.0,2.0
7,J,J,-3.277120365218249,1.6533220403786932,"{'J': 0.904654149593297, 'F': 0.09534585040670296}","{'J': 0.607650809220206, 'F': 0.392349190779794}",5.2,5.4,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
8,J,J,-3.690798670368102,1.864711891806874,"{'J': 0.8824212778966677, 'F': 0.11757872210333231}","{'J': 0.5698871996076508, 'F': 0.43011280039234917}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,6.0,5.0,8.0,4.0
9,J,J,-4.061069085580938,2.074442316612947,"{'J': 0.8976946126093072, 'F': 0.10230538739069284}","{'J': 0.607694192599853, 'F': 0.39230580740014703}",6.0,4.4,4.0,6.0,7.0,8.0,5.0,2.0,6.0,4.0,8.0,2.0
10,J,J,-4.39172204113969,2.2804929422421716,"{'J': 0.9124694376528117, 'F': 0.08753056234718827}","{'J': 0.6441176470588236, 'F': 0.3558823529411765}",6.0,3.4,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,6.0,2.0
