round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.6420035620814736,0.6286244275203207,"{'J': 0.9947781476165756, 'F': 0.005221852383424436}","{'J': 0.3594641528156785, 'F': 0.6405358471843215}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
2,J,F,-1.2117959754949,0.9793343401782705,"{'J': 0.9019055204950677, 'F': 0.0980944795049323}","{'J': 0.44165435745937964, 'F': 0.5583456425406204}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
3,J,F,-1.7845014755006905,1.4380838615152314,"{'J': 0.9496711029524246, 'F': 0.05032889704757534}","{'J': 0.433943592281049, 'F': 0.566056407718951}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
4,J,F,-2.355732927837463,1.9195970360234478,"{'J': 0.9603718199608611, 'F': 0.03962818003913894}","{'J': 0.43399950653836666, 'F': 0.5660004934616334}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
5,J,F,-2.9504035943812355,2.438653826819906,"{'J': 0.9679036498135355, 'F': 0.03209635018646451}","{'J': 0.4110399211434204, 'F': 0.5889600788565796}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
6,J,F,-3.535200761236922,2.915473015375348,"{'J': 0.9532601717971448, 'F': 0.04673982820285513}","{'J': 0.4224519940915805, 'F': 0.5775480059084195}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
7,J,F,-4.0571298896176,3.3125183099771296,"{'J': 0.9399107524909835, 'F': 0.060089247509016445}","{'J': 0.48042354099975376, 'F': 0.5195764590002463}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
8,J,F,-4.610977522449563,3.698038410016795,"{'J': 0.9230204830327117, 'F': 0.07697951696728829}","{'J': 0.45333661659689733, 'F': 0.5466633834031027}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
9,J,F,-5.141772139344248,4.090511063439988,"{'J': 0.9344101811062163, 'F': 0.06558981889378365}","{'J': 0.47277654594727764, 'F': 0.5272234540527223}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
10,J,F,-5.680835785139671,4.510130430766271,"{'J': 0.9441997063142438, 'F': 0.055800293685756244}","{'J': 0.4648581997533909, 'F': 0.5351418002466092}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
