round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.44449726610051404,0.4284913390021741,"{'J': 0.9910175299352072, 'F': 0.008982470064792839}","{'J': 0.5545232273838631, 'F': 0.44547677261613694}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
2,J,F,-0.9545528166055404,0.6494947887794458,"{'J': 0.8577017114914426, 'F': 0.14229828850855747}","{'J': 0.49217221135029354, 'F': 0.5078277886497065}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,4.0,6.0,7.0,8.0,5.0
3,J,J,-1.426383795983401,0.920739659792213,"{'J': 0.8948108306338244, 'F': 0.10518916936617566}","{'J': 0.5232729054385106, 'F': 0.4767270945614895}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
4,J,F,-1.926383795983401,1.2073231612904092,"{'J': 0.8932917507490981, 'F': 0.10670824925090197}","{'J': 0.5, 'F': 0.5}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,4.0,6.0,7.0,8.0,5.0
5,J,J,-2.3980952528433725,1.4840245104859942,"{'J': 0.8976897689768977, 'F': 0.10231023102310231}","{'J': 0.5234833659491194, 'F': 0.4765166340508806}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,4.0,6.0,7.0,8.0,5.0
6,J,J,-2.8277299740015986,1.7303928569892677,"{'J': 0.8962777336348634, 'F': 0.10372226636513661}","{'J': 0.5582761998041136, 'F': 0.44172380019588636}",7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0
7,J,J,-3.299137964448409,1.9956203941854307,"{'J': 0.8918241301290283, 'F': 0.10817586987097169}","{'J': 0.5235063663075417, 'F': 0.4764936336924584}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,F,-3.824223402661829,2.2291006123561394,"{'J': 0.8596941896024465, 'F': 0.14030581039755352}","{'J': 0.480411361410382, 'F': 0.519588638589618}",6.0,6.8,4.0,6.0,7.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
9,J,F,-4.338628003914115,2.5126108875293873,"{'J': 0.8872042550589961, 'F': 0.11279574494100385}","{'J': 0.48824681684622917, 'F': 0.5117531831537708}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,4.0,6.0,7.0,8.0,5.0
10,J,J,-4.824518453424182,2.7900432819316183,"{'J': 0.8932893289328933, 'F': 0.10671067106710672}","{'J': 0.5116279069767442, 'F': 0.4883720930232558}",6.2,6.0,4.0,6.0,8.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
