round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.6026459833313392,0.4213408009621845,"{'J': 0.9230393354507697, 'F': 0.0769606645492304}","{'J': 0.41104594330400784, 'F': 0.5889540566959922}",4.2,5.6,4.0,3.0,4.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
2,J,J,-1.0339089219167845,0.3027230223486972,"{'J': 0.6992426093330075, 'F': 0.3007573906669924}","{'J': 0.5429200293470287, 'F': 0.4570799706529714}",5.6,5.6,4.0,6.0,6.0,8.0,4.0,4.0,6.0,6.0,8.0,4.0
3,J,F,-1.6114298962649025,0.16360289425808308,"{'J': 0.6723674566332764, 'F': 0.32763254336672365}","{'J': 0.4531670335045243, 'F': 0.5468329664954756}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
4,J,J,-2.1053591016670357,0.06057759179684874,"{'J': 0.6992426093330075, 'F': 0.3007573906669924}","{'J': 0.5037906578625581, 'F': 0.49620934213744194}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
5,J,F,-2.683709223282324,-0.10040087256381156,"{'J': 0.6619408457589832, 'F': 0.33805915424101685}","{'J': 0.4532550171316691, 'F': 0.5467449828683308}",4.6,5.6,2.0,4.0,6.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
6,J,F,-3.234905566632516,-0.23113162684736765,"{'J': 0.6790515766316304, 'F': 0.3209484233683696}","{'J': 0.46881878209831257, 'F': 0.5311812179016875}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
7,J,F,-3.778220284349051,-0.3083750812001397,"{'J': 0.7057673509286413, 'F': 0.29423264907135877}","{'J': 0.4727317192467596, 'F': 0.5272682807532404}",3.8,5.6,2.0,3.0,4.0,8.0,2.0,4.0,6.0,6.0,8.0,4.0
8,J,F,-4.37419018283929,-0.43633076229951084,"{'J': 0.6757879306132422, 'F': 0.3242120693867579}","{'J': 0.4417808219178082, 'F': 0.5582191780821918}",4.6,5.6,2.0,4.0,6.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
9,J,F,-4.966731805276548,-0.6171139827420697,"{'J': 0.6513559736134864, 'F': 0.34864402638651354}","{'J': 0.44547677261613694, 'F': 0.5545232273838631}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
10,J,F,-5.592168994651422,-0.7998084381022307,"{'J': 0.6477772349780166, 'F': 0.3522227650219834}","{'J': 0.42640586797066016, 'F': 0.5735941320293398}",5.2,5.6,4.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
