round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.5397335860476865,0.5197540782956213,"{'J': 0.9907332488588309, 'F': 0.009266751141169106}","{'J': 0.46098941668717697, 'F': 0.539010583312823}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,4.0
2,J,F,-1.1487686268675683,0.6567082362766741,"{'J': 0.79559902200489, 'F': 0.20440097799511003}","{'J': 0.4226044226044226, 'F': 0.5773955773955773}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,3.0
3,J,F,-1.7234909925467297,0.9179925591017365,"{'J': 0.8596577017114915, 'F': 0.14034229828850855}","{'J': 0.44165435745937964, 'F': 0.5583456425406204}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,3.0
4,J,F,-2.3168402779997157,1.2062432832440102,"{'J': 0.8670576735092864, 'F': 0.13294232649071358}","{'J': 0.42625766871165643, 'F': 0.5737423312883435}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
5,J,F,-2.9308481189756925,1.3511782811437703,"{'J': 0.7982413287738154, 'F': 0.20175867122618465}","{'J': 0.4187699093359471, 'F': 0.581230090664053}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,4.0
6,J,F,-3.5111531860215637,1.5082565530210157,"{'J': 0.8104607112306, 'F': 0.1895392887694}","{'J': 0.44176904176904175, 'F': 0.5582309582309583}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,6.0,5.0,8.0,3.0
7,J,F,-4.100804808429842,1.6030414297084041,"{'J': 0.7799633475870494, 'F': 0.2200366524129505}","{'J': 0.4377450980392157, 'F': 0.5622549019607843}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
8,J,F,-4.677877403911658,1.721314230780548,"{'J': 0.7931540342298289, 'F': 0.20684596577017114}","{'J': 0.4454813359528487, 'F': 0.5545186640471512}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
9,J,F,-5.215355323767679,1.8641913707492193,"{'J': 0.8129048026396187, 'F': 0.18709519736038127}","{'J': 0.4727272727272727, 'F': 0.5272727272727272}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,6.0,5.0,8.0,3.0
10,J,F,-5.776118513351878,1.9701038855767699,"{'J': 0.790515766316304, 'F': 0.20948423368369593}","{'J': 0.45717791411042946, 'F': 0.5428220858895706}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
