round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.8222278739239176,0.5360099278771769,"{'J': 0.907292048369366, 'F': 0.09270795163063393}","{'J': 0.22817314746881878, 'F': 0.7718268525311812}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
2,J,F,-1.6616940146548018,0.319298260973667,"{'J': 0.6187683284457478, 'F': 0.3812316715542522}","{'J': 0.3073910915320607, 'F': 0.6926089084679393}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
3,J,F,-2.4937686329653186,-0.006798465479714411,"{'J': 0.5737344093910491, 'F': 0.42626559060895086}","{'J': 0.3207454634624816, 'F': 0.6792545365375184}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
4,J,F,-3.2963666094475195,-0.3085843949722281,"{'J': 0.5850439882697948, 'F': 0.4149560117302053}","{'J': 0.33463796477495106, 'F': 0.6653620352250489}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
5,J,F,-4.144557300573223,-0.6979195171947357,"{'J': 0.5467871976545321, 'F': 0.45321280234546785}","{'J': 0.317359413202934, 'F': 0.682640586797066}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
6,J,F,-5.0430919611817355,-1.1227303316178947,"{'J': 0.5311812179016875, 'F': 0.46881878209831257}","{'J': 0.29431929480901076, 'F': 0.7056807051909892}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
7,F,F,-5.983638352828722,-1.6415053680995288,"{'J': 0.49229640498899485, 'F': 0.5077035950110051}","{'J': 0.2814107274063189, 'F': 0.7185892725936811}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
8,J,F,-6.729629851370335,-1.8538105370349962,"{'J': 0.626099706744868, 'F': 0.37390029325513197}","{'J': 0.35925654194179507, 'F': 0.640743458058205}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
9,J,F,-7.486756595852706,-2.0557265570835446,"{'J': 0.6298558514537015, 'F': 0.37014414854629857}","{'J': 0.3522504892367906, 'F': 0.6477495107632094}",2.6,2.6,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0
10,J,F,-8.270978906580343,-2.228012972293896,"{'J': 0.6406059125335939, 'F': 0.35939408746640605}","{'J': 0.33463796477495106, 'F': 0.6653620352250489}",3.2,3.2,2.0,4.0,2.0,6.0,2.0,2.0,4.0,3.0,5.0,2.0
