round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.9043509791002229,-0.07990444655643808,"{'J': 0.6689469826533105, 'F': 0.33105301734668946}","{'J': 0.2567237163814181, 'F': 0.7432762836185819}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,3.0
2,J,F,-1.695190164712993,-0.4900849815624467,"{'J': 0.5390070921985816, 'F': 0.46099290780141844}","{'J': 0.3486777668952008, 'F': 0.6513222331047992}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,F,-2.6180384821221487,-0.980595706400327,"{'J': 0.5039138943248532, 'F': 0.49608610567514677}","{'J': 0.28774509803921566, 'F': 0.7122549019607843}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,F,-3.4723056171545044,-1.4529303446854882,"{'J': 0.5117302052785924, 'F': 0.48826979472140764}","{'J': 0.3207639569049951, 'F': 0.6792360430950048}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,3.0
5,F,F,-4.477969351629845,-2.116533088576218,"{'J': 0.4338792471278416, 'F': 0.5661207528721584}","{'J': 0.26284875183553597, 'F': 0.737151248164464}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,3.0
6,J,F,-5.305280655327979,-2.497861859209544,"{'J': 0.5506112469437653, 'F': 0.4493887530562347}","{'J': 0.3276199804113614, 'F': 0.6723800195886386}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
7,J,F,-6.137725475474104,-2.869644161904299,"{'J': 0.5545232273838631, 'F': 0.44547677261613694}","{'J': 0.32419196865817823, 'F': 0.6758080313418218}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
8,F,F,-7.09689496485651,-3.455400297574887,"{'J': 0.4649058449498655, 'F': 0.5350941550501345}","{'J': 0.27819916809395645, 'F': 0.7218008319060436}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
9,F,F,-7.991775396200504,-3.973844251249349,"{'J': 0.49228886168910646, 'F': 0.5077111383108935}","{'J': 0.3040706228543404, 'F': 0.6959293771456596}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,F,F,-8.92910676730671,-4.473844251249349,"{'J': 0.5, 'F': 0.5}","{'J': 0.2813343144468972, 'F': 0.7186656855531027}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
