round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.8163031235506741,0.3010141207080231,"{'J': 0.8245248313917842, 'F': 0.17547516860821583}","{'J': 0.2658662092624357, 'F': 0.7341337907375644}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
2,J,F,-1.6261009323050497,0.26820212642808866,"{'J': 0.6958649376070467, 'F': 0.3041350623929533}","{'J': 0.30737203036982613, 'F': 0.6926279696301739}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,F,-2.3866337402326336,0.26283044347068546,"{'J': 0.7122214058290472, 'F': 0.28777859417095275}","{'J': 0.33464084334395683, 'F': 0.6653591566560432}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,F,-3.1538588128354803,0.29020249328476005,"{'J': 0.7249143416544298, 'F': 0.27508565834557025}","{'J': 0.3276157804459691, 'F': 0.6723842195540308}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,F,-3.931707595785454,0.28195837197196244,"{'J': 0.7091399166870865, 'F': 0.2908600833129135}","{'J': 0.32433758586849853, 'F': 0.6756624141315015}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,J,F,-4.6954854825223995,0.2930181280636612,"{'J': 0.7186274509803922, 'F': 0.28137254901960784}","{'J': 0.3312086295660701, 'F': 0.6687913704339299}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
7,J,F,-5.518465195982198,0.31276730111298817,"{'J': 0.7155109041901495, 'F': 0.28448909580985055}","{'J': 0.29414646093558655, 'F': 0.7058535390644134}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,F,-6.3361119160273685,0.26574864156163835,"{'J': 0.6893846531012503, 'F': 0.3106153468987497}","{'J': 0.3040706228543404, 'F': 0.6959293771456596}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,J,F,-7.104429496304039,0.2856905521213936,"{'J': 0.7217455258641824, 'F': 0.2782544741358176}","{'J': 0.3276157804459691, 'F': 0.6723842195540308}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,J,F,-7.8629999862425715,0.33280878931176117,"{'J': 0.7340529931305201, 'F': 0.26594700686947986}","{'J': 0.3312086295660701, 'F': 0.6687913704339299}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
