round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.2640245419596462,0.04220150851168589,"{'J': 0.8289345063538612, 'F': 0.1710654936461388}","{'J': 0.6758214811181952, 'F': 0.3241785188818048}",6.0,6.0,4.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,8.0,4.0
2,J,F,-0.8910881359097813,-0.2675422169269118,"{'J': 0.5889269965703087, 'F': 0.41107300342969133}","{'J': 0.43026706231454004, 'F': 0.56973293768546}",5.2,4.8,4.0,6.0,5.0,8.0,3.0,4.0,6.0,4.0,8.0,2.0
3,J,J,-1.2634207621554512,-0.37164953146900903,"{'J': 0.7154791154791155, 'F': 0.28452088452088453}","{'J': 0.5813664596273292, 'F': 0.4186335403726708}",2.6,5.2,2.0,3.0,2.0,4.0,2.0,4.0,6.0,4.0,8.0,4.0
4,J,J,-1.683326191487266,-0.474734377843368,"{'J': 0.7090416358709042, 'F': 0.2909583641290958}","{'J': 0.5506313443921763, 'F': 0.44936865560782374}",3.4,5.2,2.0,3.0,2.0,8.0,2.0,4.0,6.0,4.0,8.0,4.0
5,J,J,-2.064594810380178,-0.5429659127025541,"{'J': 0.7340216322517208, 'F': 0.26597836774827927}","{'J': 0.5775030902348578, 'F': 0.42249690976514215}",6.0,5.2,4.0,6.0,8.0,8.0,4.0,4.0,6.0,4.0,8.0,4.0
6,J,J,-2.4659031198149624,-0.6570008348356358,"{'J': 0.7057668711656442, 'F': 0.2942331288343558}","{'J': 0.5621301775147929, 'F': 0.4378698224852071}",6.0,3.4,4.0,6.0,8.0,8.0,4.0,2.0,3.0,2.0,8.0,2.0
7,J,J,-2.928078184352281,-0.787299972803941,"{'J': 0.6892655367231638, 'F': 0.3107344632768362}","{'J': 0.5233275734386571, 'F': 0.4766724265613429}",6.0,6.2,4.0,6.0,8.0,8.0,4.0,6.0,6.0,6.0,7.0,6.0
8,J,J,-3.3836505698965063,-0.9321563964076446,"{'J': 0.6825318940137389, 'F': 0.317468105986261}","{'J': 0.5271739130434783, 'F': 0.47282608695652173}",5.2,6.4,4.0,6.0,5.0,8.0,3.0,6.0,8.0,6.0,8.0,4.0
9,J,F,-3.897280497403335,-1.1558812251675086,"{'J': 0.6370552147239263, 'F': 0.3629447852760736}","{'J': 0.4921026653504442, 'F': 0.5078973346495558}",5.8,5.2,4.0,6.0,8.0,8.0,3.0,4.0,6.0,4.0,8.0,4.0
10,J,J,-4.287956006649906,-1.2492847542623702,"{'J': 0.7185892725936811, 'F': 0.2814107274063189}","{'J': 0.5699532825178264, 'F': 0.4300467174821736}",4.8,5.2,4.0,6.0,4.0,8.0,2.0,4.0,6.0,4.0,8.0,4.0
