round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.4285006700380057,0.3543050001089349,"{'J': 0.9572733103258712, 'F': 0.04272668967412882}","{'J': 0.5658704752524009, 'F': 0.43412952474759914}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
2,J,J,-0.8630641845569857,0.5262514543410182,"{'J': 0.8538941190854628, 'F': 0.14610588091453722}","{'J': 0.5506391347099312, 'F': 0.44936086529006886}",7.0,6.4,8.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,5.0
3,J,J,-1.338207103956786,0.7316762753254721,"{'J': 0.8596941896024465, 'F': 0.14030581039755352}","{'J': 0.5194103194103195, 'F': 0.4805896805896806}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
4,J,J,-1.770192677820343,0.9391370453292626,"{'J': 0.8740523355343605, 'F': 0.12594766446563951}","{'J': 0.5543291636006867, 'F': 0.4456708363993132}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
5,J,J,-2.2328737489798214,1.2205823540180976,"{'J': 0.9033361847733106, 'F': 0.09666381522668947}","{'J': 0.5312729948491538, 'F': 0.4687270051508462}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
6,J,J,-2.7138153360341177,1.48602019834837,"{'J': 0.8887801895444818, 'F': 0.1112198104555182}","{'J': 0.5155904738521974, 'F': 0.4844095261478026}",7.8,6.4,7.0,8.0,8.0,9.0,7.0,6.0,7.0,6.0,8.0,5.0
7,J,J,-3.195281994568881,1.7774288785777523,"{'J': 0.9019320127170457, 'F': 0.09806798728295427}","{'J': 0.5154943433349729, 'F': 0.48450565666502704}",7.0,6.4,8.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,5.0
8,J,J,-3.6480654703496143,2.038999461031839,"{'J': 0.8962818003913894, 'F': 0.10371819960861056}","{'J': 0.5391047712739794, 'F': 0.4608952287260207}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
9,J,J,-4.109032974795187,2.267076010795741,"{'J': 0.8757874136138463, 'F': 0.12421258638615375}","{'J': 0.5312653865091088, 'F': 0.4687346134908912}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
10,J,J,-4.58993535120786,2.532382662393289,"{'J': 0.8887256702166728, 'F': 0.11127432978332721}","{'J': 0.5156211562115621, 'F': 0.4843788437884379}",7.6,6.4,8.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,5.0
