round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.13478879058824234,0.09070128682445078,"{'J': 0.9372098705106279, 'F': 0.0627901294893721}","{'J': 0.8244648318042813, 'F': 0.17553516819571865}",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2,J,J,-0.5511106080669461,-0.08196750254708643,"{'J': 0.6723800195886386, 'F': 0.3276199804113614}","{'J': 0.5505535055350553, 'F': 0.44944649446494467}",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
3,J,F,-1.1009888218825037,-0.3917302338837151,"{'J': 0.59257437914925, 'F': 0.40742562085074996}","{'J': 0.47251663790978554, 'F': 0.5274833620902144}",5.6,8.0,6.0,4.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0
4,J,J,-1.5747882411633907,-0.5591560861293914,"{'J': 0.6689503303156349, 'F': 0.33104966968436506}","{'J': 0.5157635467980296, 'F': 0.48423645320197045}",8.2,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
5,J,J,-1.9940857715612275,-0.6744666833049241,"{'J': 0.7025967662910338, 'F': 0.2974032337089662}","{'J': 0.5506032996798818, 'F': 0.4493967003201182}",7.6,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0
6,J,F,-2.5144031469821315,-0.9118873376444044,"{'J': 0.6297747306562194, 'F': 0.3702252693437806}","{'J': 0.4883263701155075, 'F': 0.5116736298844925}",7.6,8.2,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,9.0
7,J,F,-3.0947541509819074,-1.1174000901894092,"{'J': 0.6406671572234486, 'F': 0.35933284277655136}","{'J': 0.453248031496063, 'F': 0.546751968503937}",6.0,8.2,6.0,5.0,7.0,8.0,4.0,8.0,8.0,8.0,8.0,9.0
8,J,F,-3.6474883121644543,-1.305068545864001,"{'J': 0.6514594064262939, 'F': 0.34854059357370615}","{'J': 0.4689265536723164, 'F': 0.5310734463276836}",6.0,8.0,6.0,4.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0
9,J,F,-4.271357529016354,-1.6725961462036976,"{'J': 0.562133072407045, 'F': 0.437866927592955}","{'J': 0.4339622641509434, 'F': 0.5660377358490566}",7.6,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0
10,J,F,-4.924162991305096,-2.038074456323764,"{'J': 0.5621939275220372, 'F': 0.43780607247796277}","{'J': 0.4185303514376997, 'F': 0.5814696485623003}",7.6,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0
