round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.06146060366355613,0.042587367280997754,"{'J': 0.9525617860533488, 'F': 0.04743821394665115}","{'J': 0.9005378005810719, 'F': 0.0994621994189281}",8.2,8.4,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0
2,J,J,-0.18196191144717994,0.06393827966658971,"{'J': 0.8740777176586325, 'F': 0.12592228234136743}","{'J': 0.8031516075740247, 'F': 0.19684839242597535}",8.4,5.0,8.0,9.0,8.0,9.0,8.0,5.0,5.0,5.0,5.0,5.0
3,J,J,-0.3309413797791738,0.047022661650688385,"{'J': 0.8267059401080019, 'F': 0.17329405989199803}","{'J': 0.7606740149499557, 'F': 0.23932598505004435}",8.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
4,J,J,-0.5300583969513647,0.060354099757079435,"{'J': 0.8311497489898372, 'F': 0.16885025101016285}","{'J': 0.7249255213505462, 'F': 0.27507447864945384}",8.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
5,J,J,-0.716979810212493,0.06758942403173815,"{'J': 0.8311051146817122, 'F': 0.16889488531828775}","{'J': 0.7340267459138187, 'F': 0.2659732540861813}",8.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
6,J,J,-0.8972644284673241,0.053871898327565865,"{'J': 0.8175110673880964, 'F': 0.1824889326119036}","{'J': 0.734227521112767, 'F': 0.265772478887233}",8.2,8.2,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0
7,J,J,-1.1351779224813279,0.08636623066122741,"{'J': 0.8311176760216642, 'F': 0.1688823239783358}","{'J': 0.6959137628478316, 'F': 0.3040862371521685}",8.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
8,J,J,-1.3573617144374093,0.11711541431067066,"{'J': 0.8355117139334155, 'F': 0.16448828606658447}","{'J': 0.7090452261306532, 'F': 0.29095477386934676}",8.2,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
9,J,J,-1.6043042222220887,0.13781786008924793,"{'J': 0.8198543030003704, 'F': 0.1801456969996296}","{'J': 0.6860318262187421, 'F': 0.3139681737812579}",8.4,8.4,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0
10,J,J,-1.902608812621716,0.12363120358506316,"{'J': 0.7826408580939465, 'F': 0.21735914190605352}","{'J': 0.6405818911462252, 'F': 0.3594181088537748}",8.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
