round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.40903651239467576,0.15087799813651567,"{'J': 0.8499206252289657, 'F': 0.1500793747710343}","{'J': 0.5699633699633699, 'F': 0.43003663003663006}",4.0,4.0,2.0,6.0,2.0,8.0,2.0,2.0,6.0,2.0,8.0,2.0
2,F,F,-1.178549225546194,-0.43716865198198585,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.3702979970688813, 'F': 0.6297020029311187}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
3,J,J,-1.538700346099344,-0.4905424135381489,"{'J': 0.7461444308445533, 'F': 0.25385556915544677}","{'J': 0.5927557513460597, 'F': 0.40724424865394027}",3.6,4.0,2.0,4.0,2.0,8.0,2.0,2.0,6.0,2.0,8.0,2.0
4,J,F,-2.0454840464440847,-0.7227337633144363,"{'J': 0.6333822809593734, 'F': 0.3666177190406265}","{'J': 0.49608610567514677, 'F': 0.5039138943248532}",3.6,4.0,2.0,4.0,2.0,8.0,2.0,2.0,6.0,2.0,8.0,2.0
5,J,J,-2.4386267079058745,-0.8689909245850991,"{'J': 0.6893512851897184, 'F': 0.3106487148102815}","{'J': 0.5659085350941551, 'F': 0.43409146490584494}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
6,J,J,-2.881258454935493,-1.0165063572960977,"{'J': 0.6826523122094446, 'F': 0.31734768779055544}","{'J': 0.5350941550501345, 'F': 0.4649058449498655}",3.2,3.6,2.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,8.0,2.0
7,J,F,-3.4222982956970016,-1.258192685253615,"{'J': 0.6261933904528764, 'F': 0.37380660954712364}","{'J': 0.4765166340508806, 'F': 0.5234833659491194}",3.2,3.6,2.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,8.0,2.0
8,J,J,-3.836184613054515,-1.3627433891289493,"{'J': 0.7091087169441724, 'F': 0.2908912830558276}","{'J': 0.554440910203083, 'F': 0.44555908979691705}",3.2,3.6,2.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,8.0,2.0
9,J,J,-4.228812958284573,-1.4328174681762396,"{'J': 0.7310986053339859, 'F': 0.2689013946660142}","{'J': 0.5698214722426022, 'F': 0.4301785277573979}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
10,J,J,-4.643263538666848,-1.5312210818266163,"{'J': 0.7123287671232876, 'F': 0.2876712328767123}","{'J': 0.5543052837573386, 'F': 0.44569471624266144}",3.6,4.0,2.0,4.0,2.0,8.0,2.0,2.0,6.0,2.0,8.0,2.0
