round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.6113645386671313,0.3721687981427476,"{'J': 0.8991016317301228, 'F': 0.10089836826987716}","{'J': 0.4073349633251834, 'F': 0.5926650366748166}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,3.0
2,J,F,-1.3750921806207814,0.3443040692857927,"{'J': 0.7025703794369645, 'F': 0.2974296205630355}","{'J': 0.3346389228886169, 'F': 0.6653610771113831}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,F,-2.1218433156970113,0.5456430419470752,"{'J': 0.7982370225269344, 'F': 0.20176297747306562}","{'J': 0.32419196865817823, 'F': 0.6758080313418218}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
4,J,F,-2.919586342224738,0.7419758559765482,"{'J': 0.7879603572739509, 'F': 0.2120396427260492}","{'J': 0.2909224369953511, 'F': 0.7090775630046489}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
5,J,F,-3.647788151802774,0.8086357443013727,"{'J': 0.7460861056751468, 'F': 0.25391389432485323}","{'J': 0.3486552567237164, 'F': 0.6513447432762837}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,3.0
6,J,F,-4.405635413948896,0.89969661295103,"{'J': 0.7520782396088019, 'F': 0.24792176039119804}","{'J': 0.32762417421091267, 'F': 0.6723758257890874}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
7,J,F,-5.204558878732116,0.864549245855484,"{'J': 0.6959921798631477, 'F': 0.3040078201368524}","{'J': 0.3141041310193107, 'F': 0.6858958689806893}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,4.0
8,J,F,-5.986652740442778,0.8651672795230115,"{'J': 0.7122952823270594, 'F': 0.2877047176729406}","{'J': 0.32093933463796476, 'F': 0.6790606653620352}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
9,J,F,-6.775573179703662,0.8596209233917116,"{'J': 0.7090464547677262, 'F': 0.29095354523227385}","{'J': 0.317359413202934, 'F': 0.682640586797066}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
10,J,F,-7.563803297046876,0.8929822447623292,"{'J': 0.7248716067498165, 'F': 0.2751283932501834}","{'J': 0.3140758873929009, 'F': 0.6859241126070992}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
