round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,-0.9250632621777378,-0.21464778392212247,"{'J': 0.6150464093795799, 'F': 0.3849535906204201}","{'J': 0.2598386702517722, 'F': 0.7401613297482278}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
2,F,F,-1.7969114873919363,-0.7146477839221225,"{'J': 0.5, 'F': 0.5}","{'J': 0.3140758873929009, 'F': 0.6859241126070992}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
3,J,F,-2.507434323710158,-1.0249919796478264,"{'J': 0.5850439882697948, 'F': 0.4149560117302053}","{'J': 0.3849546679735359, 'F': 0.615045332026464}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
4,J,F,-3.3154574759851223,-1.4615830334763396,"{'J': 0.5273704789833822, 'F': 0.4726295210166178}","{'J': 0.34165442976015664, 'F': 0.6583455702398434}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
5,F,F,-4.247075841806524,-2.120264247897592,"{'J': 0.4340175953079179, 'F': 0.5659824046920822}","{'J': 0.29754901960784313, 'F': 0.7024509803921568}",1.8,3.6,2.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,5.0,2.0
6,J,F,-5.085174220705945,-2.5746756511907845,"{'J': 0.5194424064563463, 'F': 0.4805575935436537}","{'J': 0.32759891865323176, 'F': 0.6724010813467682}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
7,J,F,-5.901436509477414,-3.020348590180737,"{'J': 0.5233782129742962, 'F': 0.4766217870257038}","{'J': 0.3380835380835381, 'F': 0.6619164619164619}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
8,J,F,-6.6720163543254,-3.493624227700573,"{'J': 0.5117531831537708, 'F': 0.48824681684622917}","{'J': 0.3631010794896958, 'F': 0.6368989205103042}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
9,J,F,-7.500499048533066,-3.9756316540508703,"{'J': 0.5077186963979416, 'F': 0.4922813036020583}","{'J': 0.33448106246925724, 'F': 0.6655189375307428}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
10,J,F,-8.287821060242933,-4.466666121872802,"{'J': 0.5039177277179236, 'F': 0.4960822722820764}","{'J': 0.35577395577395576, 'F': 0.6442260442260442}",4.2,3.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,2.0
