round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.24588647313158488,-0.023047544920173607,"{'J': 0.7904983470062447, 'F': 0.20950165299375537}","{'J': 0.679078882900539, 'F': 0.32092111709946103}",8.2,8.4,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,8.0
2,J,J,-0.6278258777635402,-0.428092787328164,"{'J': 0.5506251532238293, 'F': 0.4493748467761706}","{'J': 0.5621780721118469, 'F': 0.43782192788815305}",8.2,7.8,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0
3,J,J,-1.0113387071318174,-0.81157361860959,"{'J': 0.562117128154864, 'F': 0.437882871845136}","{'J': 0.5621011291114384, 'F': 0.4378988708885616}",7.8,8.4,8.0,8.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0
4,J,J,-1.3334152132214072,-1.1717447707992958,"{'J': 0.5773751224289911, 'F': 0.4226248775710088}","{'J': 0.5964224454790492, 'F': 0.40357755452095073}",6.8,8.4,6.0,7.0,8.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
5,J,J,-1.5908375411707456,-1.400434058956847,"{'J': 0.658500734933856, 'F': 0.34149926506614403}","{'J': 0.6441342150379623, 'F': 0.3558657849620377}",7.6,8.4,8.0,8.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,8.0
6,J,J,-1.8872849471150377,-1.696805513942865,"{'J': 0.615045332026464, 'F': 0.3849546679735359}","{'J': 0.6150073565473271, 'F': 0.38499264345267287}",8.2,8.2,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,7.0
7,J,J,-2.136397681503933,-1.9746703043957288,"{'J': 0.6297747306562194, 'F': 0.3702252693437806}","{'J': 0.6441507586882036, 'F': 0.3558492413117964}",6.8,8.4,6.0,7.0,8.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
8,J,J,-2.3806196280289806,-2.21172077099104,"{'J': 0.6549192364170338, 'F': 0.34508076358296624}","{'J': 0.6513334964521654, 'F': 0.34866650354783457}",6.8,8.4,6.0,7.0,8.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
9,J,J,-2.6859323507634087,-2.539560428103529,"{'J': 0.5964740450538688, 'F': 0.40352595494613125}","{'J': 0.6077375122428991, 'F': 0.3922624877571009}",6.8,8.4,6.0,7.0,8.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
10,J,J,-2.9647261821894952,-2.782141878810261,"{'J': 0.647908000978713, 'F': 0.352091999021287}","{'J': 0.629801810619036, 'F': 0.37019818938096405}",7.2,8.4,6.0,8.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,8.0
