round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.3781303262463469,0.33300606793908205,"{'J': 0.9706893128255258, 'F': 0.029310687174474194}","{'J': 0.6151211157328114, 'F': 0.38487888426718864}",8.2,6.4,8.0,9.0,8.0,9.0,7.0,6.0,7.0,6.0,8.0,5.0
2,J,J,-0.6238758874598005,0.5162002702782758,"{'J': 0.942501300529392, 'F': 0.05749869947060804}","{'J': 0.7280314187530682, 'F': 0.27196858124693174}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
3,J,J,-0.9126418013354043,0.7457991695156243,"{'J': 0.9518677281077771, 'F': 0.048132271892222904}","{'J': 0.6926853215513009, 'F': 0.3073146784486991}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
4,J,J,-1.2426066264898086,0.9894658006460908,"{'J': 0.938126681340181, 'F': 0.06187331865981903}","{'J': 0.6513109531977457, 'F': 0.3486890468022544}",8.2,6.4,8.0,9.0,8.0,9.0,7.0,6.0,7.0,6.0,8.0,5.0
5,J,J,-1.5097494817607178,1.2108122141530187,"{'J': 0.959755538579068, 'F': 0.04024446142093201}","{'J': 0.7155109041901495, 'F': 0.28448909580985055}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
6,J,J,-1.8221774295570277,1.465529422232581,"{'J': 0.9559610036368081, 'F': 0.044038996363191835}","{'J': 0.672388425698872, 'F': 0.32761157430112803}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
7,J,J,-2.114514309263301,1.6845905697125936,"{'J': 0.9416656475480005, 'F': 0.05833435245199951}","{'J': 0.6859666339548577, 'F': 0.3140333660451423}",7.6,7.0,8.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
8,J,J,-2.435103413433788,1.914213351531146,"{'J': 0.9334392763278528, 'F': 0.06656072367214717}","{'J': 0.6583333333333333, 'F': 0.3416666666666667}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
9,J,J,-2.7808111195839156,2.168763143279308,"{'J': 0.9372057474778355, 'F': 0.06279425252216447}","{'J': 0.6370769985286905, 'F': 0.36292300147130946}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
10,J,J,-3.0812417156327703,2.3965327686146676,"{'J': 0.9433639143730886, 'F': 0.05663608562691132}","{'J': 0.6792638036809816, 'F': 0.3207361963190184}",8.2,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0
