round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,-0.17304725957472397,0.1341992245148105,"{'J': 0.9518634962302738, 'F': 0.0481365037697262}","{'J': 0.7982402541855066, 'F': 0.20175974581449346}",6.8,6.8,6.0,7.0,8.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
2,J,J,-0.5693152781430113,-0.2773179281561773,"{'J': 0.5467871976545321, 'F': 0.45321280234546785}","{'J': 0.5544117647058824, 'F': 0.4455882352941177}",6.6,6.8,6.0,7.0,8.0,8.0,4.0,6.0,7.0,8.0,8.0,5.0
3,J,F,-1.0693152781430113,-0.6761943326505593,"{'J': 0.550561797752809, 'F': 0.449438202247191}","{'J': 0.5, 'F': 0.5}",6.6,5.6,6.0,7.0,8.0,8.0,4.0,6.0,4.0,7.0,8.0,3.0
4,J,F,-1.5980561113872698,-1.026445643005128,"{'J': 0.57373046875, 'F': 0.42626953125}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
5,J,F,-2.226369186302898,-1.4683690327062737,"{'J': 0.5272416320547276, 'F': 0.47275836794527243}","{'J': 0.4340467894474863, 'F': 0.5659532105525137}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
6,F,F,-2.9062690098564268,-1.9941621982646631,"{'J': 0.48815628815628814, 'F': 0.5118437118437118}","{'J': 0.41110295915871853, 'F': 0.5888970408412815}",4.4,5.6,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
7,J,F,-3.4062690098564268,-2.3852222861982244,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.5, 'F': 0.5}",4.6,5.6,4.0,3.0,6.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
8,J,F,-3.9473199455606327,-2.6347498219009386,"{'J': 0.6223742061553493, 'F': 0.3776257938446507}","{'J': 0.47661250615460365, 'F': 0.5233874938453964}",6.0,4.4,6.0,5.0,7.0,8.0,4.0,4.0,3.0,5.0,8.0,2.0
9,J,J,-4.425315777496489,-3.012061391862211,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.5117302052785924, 'F': 0.48826979472140764}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
10,J,F,-4.960822748153133,-3.3306863961421636,"{'J': 0.5889540566959922, 'F': 0.41104594330400784}","{'J': 0.48051307350764677, 'F': 0.5194869264923533}",5.6,6.0,6.0,4.0,7.0,8.0,3.0,6.0,5.0,7.0,8.0,4.0
