round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.1534930955174059,2.911174748331736,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.2068417837507636, 'F': 0.7931582162492364}",5.2,3.4,4.0,5.0,6.0,8.0,3.0,2.0,3.0,2.0,8.0,2.0
2,F,F,2.75755330140247,5.000662690775224,"{'J': 0.3629702002931119, 'F': 0.6370297997068881}","{'J': 0.26588465298142716, 'F': 0.7341153470185728}",3.8,3.4,2.0,4.0,3.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
3,J,F,4.341190449891369,7.657482452542535,"{'J': 0.5390070921985816, 'F': 0.46099290780141844}","{'J': 0.32437056954289906, 'F': 0.675629430457101}",3.8,3.8,2.0,4.0,3.0,8.0,2.0,2.0,4.0,3.0,8.0,2.0
4,J,F,5.727190120583593,10.389777060872323,"{'J': 0.5350941550501345, 'F': 0.4649058449498655}","{'J': 0.26583516752262165, 'F': 0.7341648324773783}",3.8,3.6,2.0,4.0,3.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
5,J,F,7.220044645305834,13.135316198913976,"{'J': 0.5545232273838631, 'F': 0.44547677261613694}","{'J': 0.30398630471998045, 'F': 0.6960136952800196}",5.2,3.4,4.0,5.0,6.0,8.0,3.0,2.0,3.0,2.0,8.0,2.0
6,J,F,8.801224610823734,15.934010180818316,"{'J': 0.5849841036928344, 'F': 0.41501589630716557}","{'J': 0.3414813004155463, 'F': 0.6585186995844536}",3.8,3.4,2.0,4.0,3.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
7,J,F,10.374232686873551,18.701803876682394,"{'J': 0.5735941320293398, 'F': 0.42640586797066016}","{'J': 0.3346370080664874, 'F': 0.6653629919335126}",5.2,3.6,4.0,5.0,6.0,8.0,3.0,2.0,4.0,2.0,8.0,2.0
8,J,F,11.878579902096725,21.333374549066498,"{'J': 0.5196773405035444, 'F': 0.48032265949645564}","{'J': 0.29423264907135877, 'F': 0.7057673509286413}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
9,J,F,13.540988977432125,23.96710748751846,"{'J': 0.5429200293470287, 'F': 0.4570799706529714}","{'J': 0.3486552567237164, 'F': 0.6513447432762837}",3.8,3.6,2.0,3.0,4.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
10,J,F,15.210668678654738,26.609100436439075,"{'J': 0.5466992665036675, 'F': 0.45330073349633254}","{'J': 0.35223661696406744, 'F': 0.6477633830359325}",3.8,3.8,2.0,4.0,3.0,8.0,2.0,2.0,4.0,3.0,8.0,2.0
