round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8377049620138043,3.079558826857617,"{'J': 0.5658990690837825, 'F': 0.43410093091621754}","{'J': 0.11752829611501989, 'F': 0.8824717038849801}",6.0,6.8,4.0,6.0,7.0,8.0,5.0,6.0,7.0,8.0,8.0,5.0
2,F,F,2.1258626024196037,5.203037376356182,"{'J': 0.3380765456329735, 'F': 0.6619234543670265}","{'J': 0.17101236381442037, 'F': 0.8289876361855796}",6.0,7.2,4.0,6.0,7.0,8.0,5.0,6.0,7.0,8.0,9.0,6.0
3,F,F,3.648311263546818,7.728062322109543,"{'J': 0.48836069590786574, 'F': 0.5116393040921343}","{'J': 0.2878454389826363, 'F': 0.7121545610173636}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,F,F,5.243416154760141,10.099517112911435,"{'J': 0.44947394176657696, 'F': 0.550526058233423}","{'J': 0.2942039618488628, 'F': 0.7057960381511372}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,F,6.909817902934754,12.778136250422097,"{'J': 0.5582761998041136, 'F': 0.44172380019588636}","{'J': 0.3558327219369039, 'F': 0.6441672780630961}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,F,F,8.54273106191995,15.26861945391217,"{'J': 0.49229640498899485, 'F': 0.5077035950110051}","{'J': 0.32078239608801956, 'F': 0.6792176039119805}",6.0,6.4,4.0,6.0,7.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
7,J,F,10.150565284973307,17.830101709324488,"{'J': 0.5116507235712534, 'F': 0.48834927642874665}","{'J': 0.32092111709946103, 'F': 0.679078882900539}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,F,F,11.888572935510929,20.287885065452944,"{'J': 0.4962056303549572, 'F': 0.5037943696450429}","{'J': 0.3522504892367906, 'F': 0.6477495107632094}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,F,F,13.692520515777389,22.68128631053901,"{'J': 0.4843290891283056, 'F': 0.5156709108716944}","{'J': 0.3664383561643836, 'F': 0.6335616438356164}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,F,F,15.466511385755943,25.099349532426714,"{'J': 0.48824681684622917, 'F': 0.5117531831537708}","{'J': 0.3594323464643993, 'F': 0.6405676535356006}",6.0,6.4,4.0,6.0,7.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
