round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,2.294854188123954,3.1627752158373164,"{'J': 0.8596620132255695, 'F': 0.14033798677443057}","{'J': 0.686077807682897, 'F': 0.313922192317103}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
2,J,F,4.109708737329648,5.993757889765078,"{'J': 0.6334152334152334, 'F': 0.3665847665847666}","{'J': 0.43018960847082, 'F': 0.56981039152918}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,F,6.041296783760866,8.986719114758904,"{'J': 0.7122746357125216, 'F': 0.2877253642874784}","{'J': 0.5, 'F': 0.5}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
4,J,J,8.107500010442116,12.006437330819587,"{'J': 0.7491061521390704, 'F': 0.2508938478609296}","{'J': 0.5584031542631839, 'F': 0.4415968457368162}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,J,10.244484958236985,14.933358109392156,"{'J': 0.7279429835340379, 'F': 0.27205701646596214}","{'J': 0.5699558173784978, 'F': 0.43004418262150224}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,J,F,12.220781254533282,17.822000084700797,"{'J': 0.6824691358024692, 'F': 0.31753086419753085}","{'J': 0.5, 'F': 0.5}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
7,J,J,14.211007470884818,20.882666062585713,"{'J': 0.7491323748140803, 'F': 0.2508676251859197}","{'J': 0.5350444225074038, 'F': 0.46495557749259625}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,J,16.327382391919368,23.81270035395631,"{'J': 0.7249689440993788, 'F': 0.2750310559006211}","{'J': 0.5622370700321703, 'F': 0.43776292996782973}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
9,J,J,18.300352292347405,26.801081832532528,"{'J': 0.7185717827919663, 'F': 0.28142821720803374}","{'J': 0.5154894671623296, 'F': 0.48451053283767037}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
10,J,J,20.356733682010358,29.574161127200764,"{'J': 0.6549330689142291, 'F': 0.34506693108577097}","{'J': 0.5115934879131722, 'F': 0.48840651208682784}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
