round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,3.2382813422624346,2.029673809390285,"{'J': 0.5850172498767866, 'F': 0.4149827501232134}","{'J': 0.8267387564512165, 'F': 0.17326124354878347}",7.0,7.6,6.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,9.0,7.0
2,J,J,5.962894881909136,4.740493492207021,"{'J': 0.769041769041769, 'F': 0.23095823095823095}","{'J': 0.7718005404077622, 'F': 0.22819945959223778}",7.2,7.2,6.0,7.0,8.0,9.0,6.0,6.0,8.0,7.0,9.0,6.0
3,J,J,8.817517359904961,7.355163411956154,"{'J': 0.757722366951991, 'F': 0.24227763304800892}","{'J': 0.8057128786013297, 'F': 0.19428712139867027}",7.0,7.2,6.0,7.0,8.0,8.0,6.0,6.0,8.0,7.0,9.0,6.0
4,J,J,11.614717043198592,10.00103644765778,"{'J': 0.757754800590842, 'F': 0.24224519940915806}","{'J': 0.7880201301092427, 'F': 0.21197986989075734}",7.2,7.6,6.0,7.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,7.0
5,J,J,14.391372267260815,12.753167154331573,"{'J': 0.8006881297616122, 'F': 0.1993118702383878}","{'J': 0.8055930332392984, 'F': 0.19440696676070157}",7.2,7.6,6.0,7.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,7.0
6,J,J,17.183763575287323,15.49644286285278,"{'J': 0.8006889763779528, 'F': 0.19931102362204725}","{'J': 0.8105120962790127, 'F': 0.18948790372098734}",7.2,7.6,6.0,7.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,7.0
7,J,J,19.965712958362847,18.200384465300097,"{'J': 0.7800788954635108, 'F': 0.21992110453648916}","{'J': 0.795680451589152, 'F': 0.20431954841084796}",7.2,7.6,6.0,8.0,7.0,9.0,6.0,6.0,8.0,8.0,9.0,7.0
8,J,J,22.723985825568448,20.905118903515007,"{'J': 0.7745593491926538, 'F': 0.22544065080734624}","{'J': 0.7852670349907919, 'F': 0.2147329650092081}",7.2,7.0,6.0,8.0,7.0,9.0,6.0,6.0,8.0,7.0,8.0,6.0
9,J,J,25.534746480342022,23.61603425975277,"{'J': 0.7905430365718508, 'F': 0.20945696342814923}","{'J': 0.8105120962790127, 'F': 0.18948790372098734}",7.2,7.2,6.0,7.0,8.0,9.0,6.0,6.0,8.0,7.0,9.0,6.0
10,J,J,28.320462722169708,26.35213445581698,"{'J': 0.7956698240866035, 'F': 0.20433017591339647}","{'J': 0.8055930332392984, 'F': 0.19440696676070157}",7.2,7.6,6.0,8.0,7.0,9.0,6.0,6.0,8.0,8.0,9.0,7.0
