round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,1.8746915608451962,3.6428268483676014,"{'J': 0.953969272121934, 'F': 0.04603072787806591}","{'J': 0.600342214617453, 'F': 0.39965778538254704}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
2,J,J,3.857023400504748,6.699683126894449,"{'J': 0.7460861056751468, 'F': 0.25391389432485323}","{'J': 0.5311812179016875, 'F': 0.46881878209831257}",3.6,3.4,2.0,4.0,2.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
3,J,J,5.803870072192603,9.96234480746909,"{'J': 0.8176039119804401, 'F': 0.1823960880195599}","{'J': 0.554440910203083, 'F': 0.44555908979691705}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
4,J,J,7.7691406606644335,13.164588104293365,"{'J': 0.7981404453144115, 'F': 0.20185955468558844}","{'J': 0.5507459036439227, 'F': 0.44925409635607727}",3.4,3.6,2.0,3.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
5,J,J,9.67046591440966,16.447217510454053,"{'J': 0.8152679226816736, 'F': 0.1847320773183264}","{'J': 0.5390070921985816, 'F': 0.46099290780141844}",3.4,3.6,2.0,3.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
6,J,J,11.615061857607493,19.673968869727336,"{'J': 0.8031303497187576, 'F': 0.19686965028124237}","{'J': 0.5466992665036675, 'F': 0.45330073349633254}",3.6,3.6,2.0,4.0,2.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
7,J,F,13.386613933294631,22.810730127963534,"{'J': 0.7340347443112307, 'F': 0.2659652556887693}","{'J': 0.46099290780141844, 'F': 0.5390070921985816}",3.6,5.2,2.0,4.0,2.0,8.0,2.0,4.0,6.0,4.0,8.0,4.0
8,J,J,15.389799780148282,25.864290550543984,"{'J': 0.7490820073439413, 'F': 0.25091799265605874}","{'J': 0.5390070921985816, 'F': 0.46099290780141844}",3.6,5.0,2.0,4.0,2.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
9,J,J,17.316270167577827,29.004902438500913,"{'J': 0.7663116660545967, 'F': 0.23368833394540336}","{'J': 0.5234833659491194, 'F': 0.4765166340508806}",3.8,3.6,2.0,4.0,3.0,8.0,2.0,2.0,4.0,2.0,8.0,2.0
10,J,J,19.31817908595896,32.10417121213017,"{'J': 0.7662591687041564, 'F': 0.23374083129584353}","{'J': 0.5467871976545321, 'F': 0.45321280234546785}",3.6,5.4,2.0,4.0,2.0,8.0,2.0,4.0,6.0,5.0,8.0,4.0
